TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Utah Jazz,4,3,1,0.75,48,114.8,45,90,50,11.3,28.5,39.5,13.5,18,75,10,36.5,46.5,24.5,13.5,10.5,4.8,6,20,17.8,16
Denver Nuggets,4,2,2,0.5,48,108.3,41,88.8,46.2,8.3,25,33,18,21.8,82.8,12,32.5,44.5,27.3,16,8.5,3.3,8,16.3,18.8,-1.8
Houston Rockets,3,2,1,0.667,48,117.3,43.3,91,47.6,15.3,42.7,35.9,15.3,23.3,65.7,9.3,33,42.3,22.3,13,10,3.7,8.3,17,22.3,-0.3
Indiana Pacers,2,2,0,1,48,109,44.5,87,51.1,10.5,25,42,9.5,13.5,70.4,10.5,32,42.5,27,12.5,10.5,2.5,7,19,15.5,15.5
Oklahoma City Thunder,4,2,2,0.5,48,105,37.3,91,40.9,9.5,32,29.7,21,29.3,71.8,14.8,33,47.8,16.3,15.5,11.3,3.5,6.8,21.5,22.5,0.3
Portland Trail Blazers,3,2,1,0.667,48,117.3,42,90,46.7,11.7,33.3,35,21.7,25.3,85.5,13,31.7,44.7,18.3,11.7,8,1.3,6.3,17.7,20,5.3
Sacramento Kings,4,2,2,0.5,48,102,39,86,45.3,10.3,25.3,40.6,13.8,18,76.4,9.8,31,40.8,25.3,14.5,8.8,4.8,5.3,17,18.3,-5.5
Boston Celtics,2,1,1,0.5,48,98.5,31.5,82,38.4,10.5,30,35,25,31,80.6,9,39.5,48.5,16,15.5,7,3.5,9.5,19,20.5,0
Charlotte Hornets,2,1,1,0.5,48,99,37.5,93,40.3,6,19.5,30.8,18,25.5,70.6,13.5,34.5,48,22,11.5,8.5,4.5,8.5,11.5,22.5,-1.5
Detroit Pistons,2,1,1,0.5,48,106.5,40.5,92.5,43.8,12,27,44.4,13.5,18,75,16,27,43,21,13.5,12,1,13,13,16.5,2
Los Angeles Clippers,4,1,3,0.25,48,117.5,42,89.8,46.8,8.8,23,38,24.8,30.5,81.1,9.5,31,40.5,24,15.3,8,3.8,8,20.8,23.3,-8
Memphis Grizzlies,3,1,2,0.333,48,107.7,37.7,85,44.3,12.3,26.3,46.8,20,26,76.9,11.3,28.3,39.7,23,13,8,3.3,7,23.3,21.3,-5.3
Milwaukee Bucks,2,1,1,0.5,48,105,42,86,48.8,11,24,45.8,10,11,90.9,7.5,27,34.5,25.5,14,12.5,4.5,5,18.5,16,-2.5
Minnesota Timberwolves,3,1,2,0.333,48,107.7,42.7,96,44.4,5.7,21.3,26.6,16.7,22,75.8,11.7,33,44.7,24.3,11.3,10.3,2,8,14.7,19,-10.3
New Orleans Pelicans,4,1,3,0.25,48,114,43.3,90,48.1,13.5,33.3,40.6,14,20.5,68.3,10,34,44,30.5,16.3,9,5.8,4.8,21.3,21.3,-6.8
San Antonio Spurs,4,1,3,0.25,48,98.3,38.3,89.5,42.7,6.5,24,27.1,15.3,20.3,75.3,11.5,31.8,43.3,24.8,14.3,6.8,5.3,9.8,15.8,20,-6.5
Atlanta Hawks,2,0,2,0,48,101.5,37.5,85,44.1,13,33.5,38.8,13.5,20,67.5,4,35.5,39.5,22.5,16.5,7.5,3.5,5.5,17.5,18.5,-8.5
Brooklyn Nets,2,0,2,0,48,106,35,90,38.9,12.5,41,30.5,23.5,32,73.4,11.5,33.5,45,24,14.5,7,1.5,10.5,19.5,22.5,-10
Chicago Bulls,2,0,2,0,48,103,40,102.5,39,11.5,37.5,30.7,11.5,14,82.1,13.5,31,44.5,21,13,8.5,2,7,18,15.5,-28
Cleveland Cavaliers,2,0,2,0,48,100,35.5,91,39,11,32,34.4,18,23.5,76.6,15.5,31,46.5,19,14.5,8.5,2.5,6.5,20.5,20.5,-8.5
Dallas Mavericks,4,0,4,0,48,106.3,39.5,90,43.9,11.8,34.5,34.1,15.5,21.5,72.1,9.5,27.3,36.8,23.5,12.3,9.8,2.5,6.5,17.3,21,-16.5
Los Angeles Lakers,4,0,4,0,50.5,112.3,41.5,91.3,45.5,10.5,29,36.2,18.8,27.5,68.2,9,31,40,24.8,15,10.8,6.8,8.3,22.8,21.5,-6
Miami Heat,2,0,2,0,48,87.5,31.5,82,38.4,11,31.5,34.9,13.5,17,79.4,6,30,36,18,17.5,7.5,5,7,17.5,17.5,-22.5
New York Knicks,2,0,2,0,48,111.5,45,89.5,50.3,9.5,23.5,40.4,12,14,85.7,8,30.5,38.5,28,14,5.5,1.5,4,19,14.5,-12.5
Orlando Magic,2,0,2,0,48,106,40.5,92,44,10.5,30,35,14.5,18,80.6,8.5,26.5,35,24.5,13,9.5,3.5,8,16.5,18.5,-15.5
Philadelphia 76ers,2,0,2,0,48,115,45.5,95.5,47.6,11,28.5,38.6,13,18,72.2,12,27,39,29,15.5,9,3.5,8.5,20.5,20.5,-14.5
Phoenix Suns,4,0,4,0,48,99.8,38,89.8,42.3,8.8,28.3,31,15,20.8,72.3,10.3,33.5,43.8,21.3,16.5,5.5,3,9.8,16,17,-22
Toronto Raptors,2,0,2,0,48,118.5,44,93.5,47.1,8,29.5,27.1,22.5,25.5,88.2,15.5,27.5,43,26,14,6.5,4,5,19.5,17.5,-3.5
Washington Wizards,2,0,2,0,48,109,39.5,93.5,42.2,13,32.5,40,17,21.5,79.1,15,31,46,27.5,16.5,6.5,5,10.5,22.5,20.5,-5.5
