TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Brooklyn Nets,4,3,1,0.75,49.3,102.8,36.8,81.8,45,9.3,30,30.8,20,24.5,81.6,8.3,38.8,47,22.3,16,6.8,5,6,20.5,19.8,4.8
Cleveland Cavaliers,3,2,1,0.667,48,92.7,33,82,40.2,7,28.3,24.7,19.7,26.7,73.8,8,36,44,18,15,9.7,2.7,6.3,18.3,20.7,-2
Detroit Pistons,4,2,2,0.5,48,105.8,41,86.5,47.4,9.8,25.5,38.2,14,18.5,75.7,11.5,34.5,46,21.5,14.8,5.3,3.5,4.3,16.5,18,-0.8
Golden State Warriors,2,2,0,1,48,110,39.5,85.5,46.2,11,31,35.5,20,24,83.3,10,36,46,26,12.5,8,7,5,17.5,17.5,22.5
Houston Rockets,2,2,0,1,48,104,37,77.5,47.7,13.5,34,39.7,16.5,22,75,6,30.5,36.5,18,12,9,4.5,3.5,15.5,17.5,8.5
Indiana Pacers,4,2,2,0.5,49.3,111.8,45.3,89.5,50.6,6.8,20.8,32.5,14.5,19.8,73.4,11,34.8,45.8,22.5,13.8,9.3,5.3,5.5,18,18.8,4.8
New Orleans Pelicans,2,2,0,1,50.5,116.5,43.5,90.5,48.1,11.5,28,41.1,18,21.5,83.7,9.5,37,46.5,27,14.5,7,11.5,4,19,21,8
New York Knicks,4,2,2,0.5,49.3,109.5,41.8,82.8,50.5,9.5,23.5,40.4,16.5,20.5,80.5,9.5,36,45.5,23.5,16.5,8.5,4.5,4,21.3,18.8,7
Oklahoma City Thunder,2,2,0,1,48,110,35.5,82.5,43,11,30.5,36.1,28,35.5,78.9,9.5,37.5,47,19,10.5,8,2.5,2.5,19,24.5,14
Orlando Magic,4,2,2,0.5,48,106.8,40.3,84,47.9,9.5,24.5,38.8,16.8,21.3,78.8,8.8,33.3,42,23,13.8,6.5,7,3.8,21,19,-3.8
Philadelphia 76ers,4,2,2,0.5,48,101.8,37.5,86.8,43.2,11,31.8,34.6,15.8,21,75,12.8,34.5,47.3,26.5,17.5,8.5,3.3,6.8,22.5,19,-0.5
Portland Trail Blazers,2,2,0,1,48,108.5,37,77.5,47.7,12,32,37.5,22.5,26.5,84.9,7,34.5,41.5,18.5,12,6,4,2.5,18,22.5,11.5
Sacramento Kings,2,2,0,1,50.5,106,43,87.5,49.1,6.5,18,36.1,13.5,19.5,69.2,6.5,34,40.5,20,12,4.5,6.5,3,21,21,2.5
San Antonio Spurs,2,2,0,1,48,117,44,81.5,54,11.5,21,54.8,17.5,22,79.5,9,30,39,24,12,6,5,3,16.5,20.5,14.5
Washington Wizards,4,2,2,0.5,49.3,102.3,34.5,79.8,43.3,10,24.5,40.8,23.3,27,86.1,8.5,33.3,41.8,18.5,14.5,5.8,2.8,4.5,19.5,22,-4.3
Atlanta Hawks,4,1,3,0.25,48,96.8,36,84.3,42.7,9.3,25.5,36.3,15.5,20.3,76.5,9.5,34.8,44.3,20.8,17,8,3.5,7.5,17.8,20,-9.3
Boston Celtics,3,1,2,0.333,48,94.3,33,81.7,40.4,9.3,27,34.6,19,24.7,77,7.7,33,40.7,17.3,11,9,4.7,5.3,18.3,20.3,-0.3
Chicago Bulls,4,1,3,0.25,48,98.8,36,89,40.4,10.8,31.5,34.1,16,20.8,77.1,8.8,40.3,49,22.8,13.5,8.3,3.8,4,19.8,18.8,-4
Denver Nuggets,2,1,1,0.5,53,118,41,90,45.6,13.5,30.5,44.3,22.5,31,72.6,12,31.5,43.5,20,15.5,9.5,5.5,8.5,20.5,25,-3.5
Los Angeles Lakers,2,1,1,0.5,48,111,39.5,77.5,51,12.5,24,52.1,19.5,24,81.3,6.5,36,42.5,25.5,17,7,4.5,5.5,17,19.5,8.5
Minnesota Timberwolves,2,1,1,0.5,50.5,111,39,87.5,44.6,9,20,45,24,30.5,78.7,11.5,30.5,42,20.5,13,12.5,3.5,4.5,20.5,26,-4.5
Toronto Raptors,3,1,2,0.333,49.7,104.3,39.7,90.7,43.8,9.7,28.7,33.7,15.3,19.7,78,7.7,33.7,41.3,21,9,6.3,8.3,8,19.7,18.3,-1.7
Charlotte Hornets,4,0,4,0,48,98.5,35.5,84,42.3,6.8,24.5,27.6,20.8,26,79.8,10.3,32.5,42.8,19,13.8,7.8,5,5.8,16.3,22,-4
Dallas Mavericks,2,0,2,0,48,94.5,35.5,80.5,44.1,12.5,32,39.1,11,13.5,81.5,7,24,31,24,10,7.5,2.5,7,17,17,-9.5
Los Angeles Clippers,2,0,2,0,48,93,34.5,83.5,41.3,8.5,29.5,28.8,15.5,22,70.5,15,33,48,17,17,7,4.5,7,22,20.5,-4
Memphis Grizzlies,2,0,2,0,48,85.5,31.5,76,41.4,6.5,19,34.2,16,22,72.7,7.5,28,35.5,16.5,17,6.5,2,7,22,19.5,-25.5
Milwaukee Bucks,3,0,3,0,48,88.3,30,77,39,7,25.3,27.6,21.3,25.3,84.2,5,33.3,38.3,16.7,14.3,7.7,4.7,7.3,22.7,22.3,-9.7
Phoenix Suns,2,0,2,0,48,109,41,87.5,46.9,11,26.5,41.5,16,24,66.7,9,28,37,20.5,14.5,3.5,2,5,24.5,19.5,-16.5
Utah Jazz,2,0,2,0,48,88,31,78,39.7,7.5,26.5,28.3,18.5,21,88.1,6,36,42,13.5,14.5,8,6,6,19,18,-5.5
