TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Charlotte Hornets,4,3,1,0.75,49.3,119.3,42.5,89,47.8,12,30.3,39.7,22.3,28.3,78.8,12.3,33.8,46,24.5,12,7,4.3,4.3,17.5,24,8
Cleveland Cavaliers,4,3,1,0.75,48,114.5,42.8,82.5,51.8,11.8,30.8,38.2,17.3,21.8,79.3,5.8,31,36.8,22.5,13.3,8,3.3,4.3,18,22,3
Atlanta Hawks,4,2,2,0.5,48,103.5,37.8,86,43.9,12,36.5,32.9,16,22.5,71.1,11,30.8,41.8,23.8,16.8,6.3,4.3,6.3,20.3,20.5,-6
Brooklyn Nets,3,2,1,0.667,49.7,111.7,40,90.3,44.3,12,42.3,28.3,19.7,24.7,79.7,11.7,41.7,53.3,27.7,16,4.7,4.3,2.3,20,21,11.3
Dallas Mavericks,2,2,0,1,48,105.5,40.5,89,45.5,10.5,30.5,34.4,14,18.5,75.7,10,42.5,52.5,23,11.5,7.5,8.5,5,22,18.5,18.5
Golden State Warriors,2,2,0,1,48,114.5,41.5,83.5,49.7,10,31,32.3,21.5,25,86,9,35.5,44.5,28.5,16,8.5,10.5,5,20.5,22.5,5.5
Miami Heat,4,2,2,0.5,49.3,106.5,40,85.8,46.6,10.5,31.5,33.3,16,21.3,75.3,10,34.3,44.3,22.3,14.3,7.3,4.5,2.8,22,19.5,4.3
Milwaukee Bucks,4,2,2,0.5,48,101.5,36.8,79.3,46.4,7.3,21.5,33.7,20.8,26.5,78.3,9.8,30.8,40.5,19.5,15.5,11.3,7,5.3,22.5,21,0.5
Philadelphia 76ers,4,2,2,0.5,48,110.5,39,85.5,45.6,10.3,28.5,36,22.3,32,69.5,15.3,34.8,50,24.8,16.8,8.5,5.3,5.5,21.3,27,-0.5
Toronto Raptors,4,2,2,0.5,48,104.3,39.3,82.8,47.4,9.3,31.3,29.6,16.5,24.3,68,9,28.5,37.5,19,11.5,7.8,5.8,3.3,22.8,21,0.5
Utah Jazz,2,2,0,1,48,111.5,43,84,51.2,13.5,33.5,40.3,12,15.5,77.4,10.5,35,45.5,26,14.5,12,3,1.5,18.5,19,25
Boston Celtics,4,1,3,0.25,51.8,109.5,39.8,87.8,45.3,12,28.5,42.1,18,25.3,71.3,9.5,35,44.5,22,17.3,8.5,4,4.3,20.8,22.5,-3.8
Chicago Bulls,3,1,2,0.333,48,104.3,39.7,84.7,46.9,11.7,33.7,34.7,13.3,17,78.4,8.3,35.3,43.7,25.7,15,8,1.3,5,18.3,17.7,1.3
Denver Nuggets,2,1,1,0.5,48,106,38,82.5,46.1,12.5,28.5,43.9,17.5,20.5,85.4,8,33,41,26,16.5,5,6,2.5,19,22.5,1.5
Detroit Pistons,4,1,3,0.25,48,104.3,39.8,82.5,48.2,8.8,26,33.7,16,21.3,75.3,7.8,28.3,36,22.5,16.5,9,3,5.8,22.3,19.3,-5.3
Houston Rockets,2,1,1,0.5,48,111.5,40.5,86.5,46.8,15,47,31.9,15.5,21.5,72.1,9,31.5,40.5,20.5,13,12,2.5,3,13.5,18,-1
Indiana Pacers,3,1,2,0.333,48,100.7,36.7,81,45.3,10.7,26,41,16.7,21.3,78.1,9.7,29,38.7,18,15.7,7.3,2,1.7,18,20.3,-4.3
Los Angeles Clippers,2,1,1,0.5,48,102,36,83,43.4,10.5,28,37.5,19.5,26.5,73.6,8,32,40,19.5,15,10,5,4.5,19.5,22,-4
Los Angeles Lakers,2,1,1,0.5,50.5,98.5,36,89,40.4,5,26.5,18.9,21.5,28.5,75.4,11.5,38,49.5,22,20.5,9,4.5,4.5,22.5,25,-6.5
Minnesota Timberwolves,2,1,1,0.5,48,102.5,40.5,86,47.1,8.5,25.5,33.3,13,16.5,78.8,12,31,43,25,10,6.5,4,4,19,16.5,1
New York Knicks,3,1,2,0.333,48,105.7,42.3,90.3,46.9,7.3,20,36.7,13.7,17,80.4,9.7,31,40.7,22,13,8,4,7,18.7,17.7,-6.3
Oklahoma City Thunder,2,1,1,0.5,48,108.5,37.5,83.5,44.9,9,29.5,30.5,24.5,31.5,77.8,13.5,32.5,46,18.5,17.5,11.5,7,4.5,19.5,26.5,1.5
Orlando Magic,4,1,3,0.25,48,105.3,37.5,80.3,46.7,10.8,29.8,36.1,19.5,24.3,80.4,8,28.3,36.3,21.5,16,8,4.3,3.8,21.3,21,-10.3
Phoenix Suns,2,1,1,0.5,48,110.5,38.5,80.5,47.8,8,23.5,34,25.5,33,77.3,10.5,33,43.5,22.5,12,5,5,4,22.5,25.5,-2
Portland Trail Blazers,2,1,1,0.5,48,100,36.5,79,46.2,10.5,25.5,41.2,16.5,21.5,76.7,6.5,34.5,41,18,17.5,2.5,5.5,5,18,19.5,-5.5
San Antonio Spurs,2,1,1,0.5,48,102,39,83,47,8.5,24,35.4,15.5,25.5,60.8,11,28.5,39.5,25,11.5,7,7.5,5.5,17,21.5,-1
Memphis Grizzlies,2,0,2,0,48,93.5,33,83.5,39.5,10,29,34.5,17.5,21,83.3,10.5,36,46.5,19,16.5,6,5.5,7.5,24,22.5,-4
New Orleans Pelicans,2,0,2,0,48,101.5,36,81,44.4,5.5,20,27.5,24,29,82.8,6.5,33.5,40,21.5,15.5,5,5.5,3.5,17,23.5,-14.5
Sacramento Kings,2,0,2,0,48,87.5,33,83,39.8,9,22.5,40,12.5,17,73.5,10.5,28.5,39,16,15,8,3,2,17.5,19.5,-22.5
