TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,4,4,0,1,50.5,118.3,44,91.8,48,9,27,33.3,21.3,26,81.7,12,38.5,50.5,26,18.5,8.3,8.3,6.8,21.5,22.8,6
Minnesota Timberwolves,4,4,0,1,48,116.8,43.5,88.8,49,8,25.5,31.4,21.8,25.3,86.1,10.8,33.5,44.3,26,11.8,10.5,6.8,2.8,20.8,21.8,15
Houston Rockets,4,3,1,0.75,50.5,121.8,42,93.5,44.9,16.3,44.5,36.5,21.5,26,82.7,10.5,35,45.5,21,15.3,8.3,5.8,4.8,26.3,24.5,7.3
Los Angeles Clippers,4,3,1,0.75,48,112.3,41.5,90.3,46,9.3,27.8,33.3,20,26.3,76.2,12.5,35.8,48.3,23,16.3,8.5,3.3,5.3,20,22.3,5.3
New Orleans Pelicans,3,3,0,1,48,128.7,50.7,92.3,54.9,10,29.3,34.1,17.3,21.3,81.3,8.7,35.3,44,29.7,13.3,13.3,5.3,4,19.7,21.7,10.7
Portland Trail Blazers,3,3,0,1,48,105.3,38,88,43.2,9.7,23.3,41.4,19.7,26.3,74.7,8.7,37.3,46,20,12.3,6.7,5.7,6,20.3,22,3.7
Utah Jazz,3,3,0,1,48,108.3,40.7,83.7,48.6,13.3,33.3,40,13.7,20.7,66.1,11.7,35.3,47,27.3,18.3,9,4.7,4.3,22,21.7,12.3
Denver Nuggets,4,2,2,0.5,48,113,39,85,45.9,13.3,33.3,39.8,21.8,28,77.7,9.5,32,41.5,25,16,9.5,6,4,19,24.3,-0.8
Memphis Grizzlies,4,2,2,0.5,48,106.8,38,81,46.9,7.8,27.3,28.4,23,27.3,84.4,7,34.8,41.8,21.8,13.3,6,7.5,4.5,22.3,21.3,1.8
Milwaukee Bucks,2,2,0,1,50.5,111,40,89.5,44.7,8.5,26,32.7,22.5,27,83.3,8.5,32,40.5,20,14.5,12.5,5,6,26,22.5,5
Oklahoma City Thunder,4,2,2,0.5,48,108,43.5,91.8,47.4,10.3,31,33.1,10.8,16.3,66.2,14.5,34,48.5,22.8,14.5,10.3,5.3,4.8,15,16,8
Sacramento Kings,4,2,2,0.5,48,97.8,38.5,89.5,43,9.5,22.8,41.8,11.3,18,62.5,12.5,33,45.5,21.5,13.5,9.5,4.5,5,20,18.8,-1.5
Toronto Raptors,2,2,0,1,48,112,43,92.5,46.5,9.5,30,31.7,16.5,22.5,73.3,10.5,36,46.5,25,14.5,8,4,5,23.5,21.5,10.5
Boston Celtics,2,1,1,0.5,48,107,40,94,42.6,11,36.5,30.1,16,20.5,78,11.5,33.5,45,21,12.5,5.5,5.5,5,22.5,23,5
Charlotte Hornets,2,1,1,0.5,48,103.5,41.5,96,43.2,10,29,34.5,10.5,15,70,12.5,37,49.5,23.5,13,8.5,3,4,19,20,1.5
Cleveland Cavaliers,2,1,1,0.5,48,117,42,87,48.3,13.5,33.5,40.3,19.5,24,81.3,7.5,30.5,38,27,14.5,7,5,3.5,17,19.5,-2.5
Dallas Mavericks,4,1,3,0.25,49.3,106.5,38,88.5,42.9,13.8,39,35.3,16.8,21.3,78.8,5.8,31.3,37,23.5,10.5,8,3.3,2.8,19.8,22.3,-7.8
Detroit Pistons,2,1,1,0.5,48,102.5,42.5,97,43.8,11.5,33,34.8,6,9,66.7,10,37,47,21,9.5,5.5,2.5,6,18.5,17,-7
Indiana Pacers,2,1,1,0.5,48,98,40,92,43.5,4,23,17.4,14,16,87.5,10.5,33.5,44,19.5,8,9,6,4.5,17,17.5,-1.5
Miami Heat,2,1,1,0.5,48,102.5,41,94.5,43.4,9.5,33.5,28.4,11,15,73.3,13,28.5,41.5,23,11,10,5.5,4.5,19.5,17,-8.5
New York Knicks,2,1,1,0.5,50.5,110,46,91,50.5,10.5,23.5,44.7,7.5,10.5,71.4,11,30,41,28.5,15.5,5,6,4.5,18,18.5,-8
Orlando Magic,2,1,1,0.5,48,117,43,82.5,52.1,15,30,50,16,24,66.7,6,33,39,29.5,15.5,9,4,2,22.5,17,10.5
Philadelphia 76ers,2,1,1,0.5,48,109.5,40.5,83.5,48.5,8.5,29,29.3,20,25.5,78.4,7.5,40.5,48,28,17,5,14,6.5,22.5,23,1.5
Phoenix Suns,4,1,3,0.25,48,109.5,41.5,96,43.2,10.5,29,36.2,16,25,64,11.5,37.5,49,21,15.3,7,5.5,6.5,20.5,23,-4.8
Washington Wizards,2,1,1,0.5,50.5,105,41,89,46.1,6.5,23.5,27.7,16.5,21.5,76.7,7,38,45,20,18.5,9,4.5,4.5,25,22.5,6.5
Atlanta Hawks,2,0,2,0,48,108.5,38.5,95,40.5,10,35,28.6,21.5,28.5,75.4,9,30,39,21.5,14,9.5,3.5,6,16.5,24,-19
Brooklyn Nets,2,0,2,0,48,105.5,37,86.5,42.8,9,33.5,26.9,22.5,30.5,73.8,6.5,34,40.5,21.5,14,7.5,6.5,6.5,20,23.5,-7.5
Chicago Bulls,2,0,2,0,48,98.5,35.5,93.5,38,14,36,38.9,13.5,20,67.5,15.5,38,53.5,21.5,14,3.5,5.5,4.5,22,19.5,-7
San Antonio Spurs,3,0,3,0,49.7,101.7,39,90.3,43.2,8,24.3,32.9,15.7,20.7,75.8,11.3,35.7,47,24.7,15.7,7.7,5,3.7,18,20,-8.7
