TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,4,2,2,0.5,48,93.5,33.3,83.3,39.9,7.5,22,34.1,19.5,23.5,83,10,32,42,18.5,13.8,6.3,2.8,5.8,19,22.3,-6.5
Cleveland Cavaliers,3,2,1,0.667,48,114.3,39.7,81.3,48.8,11.3,26.7,42.5,23.7,28,84.5,5,31.7,36.7,21.3,10.7,4.7,4.7,4.3,17,23.7,-8.3
Golden State Warriors,2,2,0,1,48,122,45,79,57,10.5,25,42,21.5,25,86,4.5,29,33.5,30,12,7,5,4,17.5,19.5,3.5
Los Angeles Clippers,2,2,0,1,48,106.5,39,93.5,41.7,8,27,29.6,20.5,25.5,80.4,13,37.5,50.5,17.5,10.5,6.5,6,6,18,22.5,8
Miami Heat,3,2,1,0.667,49.7,106,42.3,96.3,43.9,9,25.7,35.1,12.3,16.3,75.5,16.3,40.7,57,22.7,13,5,8,8.3,18.3,19.7,1.7
Oklahoma City Thunder,2,2,0,1,48,128,47.5,87.5,54.3,9.5,23,41.3,23.5,33.5,70.1,14.5,31,45.5,26,15,10,4.5,2.5,25,27,12
Washington Wizards,4,2,2,0.5,48,103.8,38.5,82.5,46.7,10.3,24,42.7,16.5,22.8,72.5,11.5,33.5,45,23.3,16.3,6.5,3.3,5.8,21,22.8,-0.5
Dallas Mavericks,2,1,1,0.5,50.5,106.5,44,92.5,47.6,6,23,26.1,12.5,17,73.5,11,35,46,22.5,13,6,8,7.5,25.5,22.5,-1
Denver Nuggets,2,1,1,0.5,48,119.5,44.5,88.5,50.3,14.5,31,46.8,16,21.5,74.4,9.5,32,41.5,30.5,12.5,7.5,5,10,18,21.5,7
Indiana Pacers,4,1,3,0.25,48,98.5,37.3,91.3,40.8,8.3,24.3,34,15.8,21.5,73.3,12,29.3,41.3,18.3,11.8,9.3,4.3,7,20.3,18.5,-7
Milwaukee Bucks,3,1,2,0.333,51.3,119.7,42.7,86.7,49.2,11,23.3,47.1,23.3,28,83.3,9.3,31.3,40.7,24.7,15.7,6.3,3.3,7,23.3,21,-6.7
Minnesota Timberwolves,2,1,1,0.5,48,109.5,40,83,48.2,6,14,42.9,23.5,33,71.2,12.5,29.5,42,21,9.5,4,2.5,5.5,19.5,24,0.5
New York Knicks,4,1,3,0.25,48,96.5,36.5,88.8,41.1,7.8,23.8,32.6,15.8,19,82.9,10,32.5,42.5,21.5,12,6.5,5.8,7.3,16.3,19.5,-16.5
Philadelphia 76ers,4,1,3,0.25,48,101.5,37.5,82.3,45.6,7.5,26.3,28.6,19,27,70.4,9.5,33,42.5,21.5,22.3,9.3,6.5,5.8,26,24.8,-12.3
San Antonio Spurs,2,1,1,0.5,48,92,35.5,90.5,39.2,5,20,25,16,21.5,74.4,17.5,38,55.5,18.5,16,6.5,9.5,2.5,17.5,24.5,0.5
Utah Jazz,2,1,1,0.5,48,98.5,35.5,83.5,42.5,9,22,40.9,18.5,22.5,82.2,10,30,40,15.5,13.5,8,5,8.5,20.5,22.5,-2.5
Atlanta Hawks,4,0,4,0,48,89.8,33.8,84.3,40.1,7,23.3,30.1,15.3,20.3,75.3,11.3,31.5,42.8,20,19,7.8,5.8,9.5,19,21.8,-19.5
Brooklyn Nets,4,0,4,0,49.3,103.5,36.8,86.5,42.5,11.3,29.8,37.8,18.8,24.3,77.3,7.8,34.8,42.5,19.8,15.8,6.5,4.5,7.5,20.8,21.8,-13
Charlotte Hornets,4,0,4,0,48,106.3,36.5,84.5,43.2,7.8,21.5,36,25.5,32,79.7,8.8,32,40.8,22.3,11.8,7,4.3,6.3,17.3,25.5,-14
Chicago Bulls,4,0,4,0,48,106.8,39.8,88.3,45,9.5,29.5,32.2,17.8,21.3,83.5,7.8,32.5,40.3,23.5,13.3,6.8,3,4.3,20.5,20.8,-13.8
Detroit Pistons,4,0,4,0,49.3,100.5,38,87.5,43.4,9.8,26.5,36.8,14.8,20.8,71.1,9.3,32.8,42,22.8,12.5,8.5,4.8,6.8,19,18.8,-11.5
Houston Rockets,2,0,2,0,48,109,36.5,80,45.6,10.5,33,31.8,25.5,32,79.7,10.5,31.5,42,18,16.5,6.5,3.5,3,20,25,-9.5
Los Angeles Lakers,2,0,2,0,48,101.5,38,85,44.7,5.5,24,22.9,20,28.5,70.2,11,35.5,46.5,21,17.5,8,5,4,21.5,23.5,-10.5
Memphis Grizzlies,2,0,2,0,48,96.5,35,81.5,42.9,8.5,26,32.7,18,22.5,80,12,28,40,20.5,18,7.5,4.5,5,24,21.5,-12
New Orleans Pelicans,2,0,2,0,48,117,45,86.5,52,11.5,29,39.7,15.5,19.5,79.5,7,28,35,31,14,10,3.5,5,20.5,22,-6.5
Orlando Magic,3,0,3,0,48,97,39.3,87,45.2,9.7,26,37.2,8.7,15,57.8,8,35,43,24.7,13,11,4.3,6.7,17.3,17.7,-10.3
Phoenix Suns,2,0,2,0,48,111,37,79,46.8,8.5,24,35.4,28.5,36,79.2,5,33,38,21.5,14,5,6.5,3.5,24,26.5,-9.5
Portland Trail Blazers,2,0,2,0,48,95,34,76.5,44.4,7.5,23.5,31.9,19.5,26,75,5,32,37,16.5,12,4.5,4.5,6.5,15,18.5,-19.5
Sacramento Kings,2,0,2,0,48,90,36.5,77,47.4,10.5,24.5,42.9,6.5,11,59.1,6.5,30.5,37,20,19,8,7.5,5.5,18,15,-15
