TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Miami Heat,4,4,0,1,48,102.5,39.8,82.5,48.2,11.5,30,38.3,11.5,17,67.6,8.3,36,44.3,25.8,17,6.8,5.8,5,22,16.3,4
Philadelphia 76ers,4,4,0,1,48,116.3,45.3,88.8,51,14.3,33.3,42.9,11.5,14.5,79.3,10.3,38.3,48.5,32,14,7.5,5,4,22,15.5,14
Toronto Raptors,4,4,0,1,48,120.3,46.3,89.8,51.5,15,35.8,42,12.8,16.5,77.3,9,34,43,29,12.8,6,6.3,4.3,25.5,17.3,14
Boston Celtics,3,3,0,1,48,108.7,40.3,83,48.6,12,28.3,42.4,16,17.7,90.6,6.3,40,46.3,22,13.3,4.3,5.3,5.3,22,16.3,14
Chicago Bulls,4,3,1,0.75,49.3,116.3,45,92.5,48.6,11.8,27.5,42.7,14.5,18.5,78.4,8,36.8,44.8,25.3,13.5,7.8,4.5,6.3,23.5,16.3,0.5
Cleveland Cavaliers,3,3,0,1,48,111,41.7,90.3,46.1,12.3,35,35.2,15.3,18.3,83.6,10,34.7,44.7,24,10.7,7.3,4,3.3,22.3,17.3,7.3
Houston Rockets,2,2,0,1,48,108.5,38.5,86.5,44.5,19.5,51,38.2,12,16,75,6.5,41.5,48,22.5,13,6,5.5,5,22,14.5,14
Indiana Pacers,4,2,2,0.5,48,111.8,44.8,90.5,49.4,8.8,26.5,33,13.5,16.3,83.1,8.3,32,40.3,24.5,11.8,7.8,3.5,3.5,20.5,15,-4.5
Milwaukee Bucks,4,2,2,0.5,48,109.8,42,87.5,48,11,29.3,37.6,14.8,17.8,83.1,6.8,33.3,40,26.3,11,5.5,3.5,5.5,25,19.3,1
New Orleans Pelicans,2,2,0,1,48,110,45.5,95.5,47.6,9,24,37.5,10,13,76.9,11,35,46,29.5,14,8,8.5,7.5,17.5,18,4.5
New York Knicks,4,2,2,0.5,49.3,115.3,46,91.5,50.3,9,24.8,36.4,14.3,17.5,81.4,9.8,32.5,42.3,24.8,13,7,4,4.3,21,15.8,0.3
Portland Trail Blazers,2,2,0,1,50.5,101,39,84.5,46.2,9.5,27.5,34.5,13.5,20,67.5,7,45,52,18.5,18.5,4.5,5,3,20,18.5,4
San Antonio Spurs,2,2,0,1,48,107,39,82,47.6,7.5,26,28.8,21.5,25.5,84.3,7.5,37.5,45,26.5,13.5,7.5,6.5,2.5,22.5,19.5,13.5
Brooklyn Nets,3,1,2,0.333,48,108.7,40.7,92.7,43.9,12.7,37.3,33.9,14.7,19,77.2,10,33.3,43.3,26.3,11.7,6.3,8.7,4.3,28.7,17.3,-2.3
Dallas Mavericks,2,1,1,0.5,48,106.5,37.5,87,43.1,13.5,38.5,35.1,18,23.5,76.6,4,41.5,45.5,22.5,10,8.5,6.5,4.5,22,18,0
Denver Nuggets,2,1,1,0.5,48,107,42,90.5,46.4,13,32.5,40,10,14,71.4,11.5,34.5,46,24,12.5,8,1.5,3,19,16,0
Detroit Pistons,3,1,2,0.333,48,102.3,41.7,89,46.8,9.3,24.3,38.4,9.7,12.3,78.4,6.7,35.3,42,24.7,14,9.3,3.3,3.7,22.3,15,-5
Golden State Warriors,2,1,1,0.5,48,100.5,40,85.5,46.8,9.5,26,36.5,11,13,84.6,8,37,45,29,16.5,7,8.5,4.5,22.5,11.5,1.5
Los Angeles Clippers,2,1,1,0.5,48,96.5,34.5,79.5,43.4,9,28.5,31.6,18.5,23,80.4,6.5,36.5,43,21,15.5,7,5.5,6,21.5,18.5,-3.5
Los Angeles Lakers,2,1,1,0.5,48,102,40.5,89.5,45.3,9,31.5,28.6,12,16.5,72.7,9,37,46,24,15,7,4,3,20,19,-1.5
Minnesota Timberwolves,2,1,1,0.5,48,107,37.5,86.5,43.4,8,25.5,31.4,24,28,85.7,11,35,46,16.5,13.5,6,5,5,20,21,1
Oklahoma City Thunder,2,1,1,0.5,48,102,37,91,40.7,8.5,26,32.7,19.5,22.5,86.7,15,33,48,16.5,11.5,6,5.5,5.5,20.5,17.5,-1.5
Utah Jazz,2,1,1,0.5,48,97,34.5,80.5,42.9,11,32,34.4,17,20,85,7.5,39.5,47,24,14.5,5,7.5,2,21.5,18.5,0.5
Washington Wizards,4,1,3,0.25,49.3,111.3,42,87.5,48,12.8,30,42.5,14.5,18.5,78.4,8.3,32.5,40.8,27.8,13.8,5.3,4.3,4.3,24,17.5,-8
Atlanta Hawks,4,0,4,0,48,107,38.5,85.3,45.2,12.5,32,39.1,17.5,21.8,80.5,5.5,32.5,38,24.5,14,6.8,3.8,4,24.5,21.3,-13.5
Memphis Grizzlies,2,0,2,0,48,89,31,85.5,36.3,6,26.5,22.6,21,27,77.8,10,33,43,15,13,5.5,7.5,5.5,23,19.5,-33
Orlando Magic,4,0,4,0,48,102.3,38.8,89.8,43.2,11.3,31.3,36,13.5,17.5,77.1,8.8,32,40.8,25,15,6.3,3,5.3,21.5,18,-14
Phoenix Suns,2,0,2,0,48,112.5,41.5,80,51.9,16.5,30.5,54.1,13,16,81.3,3.5,33.5,37,25.5,17,6.5,3.5,5.5,25,17.5,-6
Sacramento Kings,2,0,2,0,48,109,44,92,47.8,8.5,19.5,43.6,12.5,16.5,75.8,13,31.5,44.5,24.5,12,4.5,2.5,6.5,20.5,14,-12.5
