TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Cleveland Cavaliers,4,3,1,0.75,48,120,42,82.5,50.9,12.8,30.8,41.5,23.3,26.5,87.7,10,30.5,40.5,23.3,15,7,4,5,16,22.3,7
Indiana Pacers,4,3,1,0.75,48,101.3,38.8,80.8,48,6.5,17.5,37.1,17.3,22.5,76.7,9.3,29.5,38.8,22.8,15.5,10.3,4,7.3,20.3,21.8,0.5
Miami Heat,3,3,0,1,48,98,35,82,42.7,10.3,26.3,39.2,17.7,21.7,81.5,8.7,40,48.7,22.3,15.3,6.3,7.3,4.7,22.3,22.7,9.7
Boston Celtics,4,2,2,0.5,48,102.3,38.3,82,46.6,9.8,25.8,37.9,16,21.5,74.4,8.8,33.8,42.5,22,15.8,8.5,3.8,3.5,19.5,20.5,1.5
Charlotte Hornets,4,2,2,0.5,48,108.8,38.3,81,47.2,10.5,24.5,42.9,21.8,30.5,71.3,8.8,35,43.8,20.3,12.8,3.5,5.5,3.5,19.3,25,-1
Chicago Bulls,4,2,2,0.5,48,107.8,39.8,90.8,43.8,10.5,27.5,38.2,17.8,24.5,72.4,14,33.3,47.3,24,12.5,7.5,1.8,6,21,20.3,-3
Denver Nuggets,2,2,0,1,50.5,131,43.5,87.5,49.7,17.5,38,46.1,26.5,33,80.3,12.5,33,45.5,32,17.5,5.5,7,4,23,28.5,7
Detroit Pistons,4,2,2,0.5,48,102.5,36.3,86.3,42,10.5,30.5,34.4,19.5,25,78,15.8,31,46.8,22.5,13.8,7.8,1.8,7.5,17.8,21,6
Houston Rockets,2,2,0,1,48,112.5,37,79,46.8,12.5,37.5,33.3,26,34.5,75.4,8,34.5,42.5,19,15.5,8,4.5,5,22,28,7.5
Los Angeles Clippers,2,2,0,1,48,116,42.5,86,49.4,15,29,51.7,16,23.5,68.1,12,32,44,24.5,18,10,3.5,8,19.5,17,7
New Orleans Pelicans,2,2,0,1,50.5,119,48,93.5,51.3,11.5,27.5,41.8,11.5,14.5,79.3,10,35.5,45.5,28.5,19,6.5,7.5,4,20,16,4.5
Philadelphia 76ers,4,2,2,0.5,48,112.8,43,85.5,50.3,10.3,28.8,35.7,16.5,19.8,83.5,11,33.3,44.3,28.8,17.5,8.3,6,5,19,20,9.3
Toronto Raptors,3,2,1,0.667,51.3,126.3,45.3,89,50.9,11,33.3,33,24.7,29,85.1,7.7,32.3,40,24.3,12,8,7,3.3,21,23.3,6.7
Washington Wizards,4,2,2,0.5,48,101,37.5,79,47.5,7.5,21.5,34.9,18.5,24.8,74.7,8,31.8,39.8,24.3,17.3,7.3,5.3,7,21,22.5,-0.5
Brooklyn Nets,3,1,2,0.333,48,101.3,37,84.7,43.7,12,34,35.3,15.3,18.3,83.6,8.7,32,40.7,24.3,14.3,4.3,5,5,19.7,17.3,-10.7
Dallas Mavericks,2,1,1,0.5,48,106.5,36.5,77,47.4,14.5,31,46.8,19,22.5,84.4,5.5,37,42.5,22.5,14.5,6.5,2,5.5,24,24.5,12.5
Golden State Warriors,2,1,1,0.5,48,107.5,42.5,77,55.2,7.5,17.5,42.9,15,16.5,90.9,6,31,37,27,15,8.5,5,4.5,16,18.5,2.5
Minnesota Timberwolves,2,1,1,0.5,48,102,38,74.5,51,8,23.5,34,18,23,78.3,5,31,36,23.5,16.5,8.5,5,0.5,14.5,19.5,6.5
Oklahoma City Thunder,2,1,1,0.5,48,102.5,39,82,47.6,9.5,26.5,35.8,15,20.5,73.2,9.5,36,45.5,20,14.5,5.5,4,5.5,19.5,22.5,8.5
Orlando Magic,4,1,3,0.25,48,104.8,38.5,85.5,45,9.8,29.3,33.3,18,21.8,82.8,8,32,40,26,15,7.8,3.8,5,16.3,18.8,-5.3
Utah Jazz,2,1,1,0.5,48,110.5,39.5,78.5,50.3,13,27.5,47.3,18.5,28,66.1,7,25.5,32.5,25.5,13,7.5,2.5,6,21,25,-2
Atlanta Hawks,3,0,3,0,48,105,36,82.7,43.5,12.3,33.3,37,20.7,24.7,83.8,8.3,33.3,41.7,23.7,16.3,7.7,4,7,20,23,-7
Los Angeles Lakers,2,0,2,0,50.5,106,39.5,84,47,7,24.5,28.6,20,31,64.5,11.5,40.5,52,27,21,6,6,5,22.5,26,-5
Memphis Grizzlies,2,0,2,0,48,103,39.5,82.5,47.9,10,26.5,37.7,14,20,70,9,25,34,24,12,5.5,3,5,24,20.5,-12.5
New York Knicks,4,0,4,0,48,98.3,40.3,92.8,43.4,6.5,24.3,26.8,11.3,14.3,78.9,13.3,33.5,46.8,24.5,15.3,5.3,5.5,7.5,20.8,16.8,-9.3
Phoenix Suns,2,0,2,0,50.5,106,38,86,44.2,8,24,33.3,22,26.5,83,15.5,31.5,47,23,25.5,9.5,5.5,5.5,26,26,-5
Portland Trail Blazers,2,0,2,0,48,100.5,34.5,82,42.1,8.5,25.5,33.3,23,26,88.5,11.5,34.5,46,17.5,17.5,7.5,4.5,6.5,18,21.5,-7.5
Sacramento Kings,2,0,2,0,48,95.5,34,77,44.2,8,20.5,39,19.5,25,78,7.5,29,36.5,17.5,17.5,6,1.5,5.5,24.5,20,-15
San Antonio Spurs,2,0,2,0,48,95,37.5,86,43.6,6.5,23,28.3,13.5,16,84.4,14.5,33.5,48,19.5,15,6,4,6.5,16,15.5,-5
