TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Cleveland Cavaliers,4,4,0,1,48,115.3,42.8,83.3,51.4,13.5,35,38.6,16.3,20.3,80.2,7.8,33.3,41,25,10.5,6.3,3.3,3,13.8,19,9.3
Toronto Raptors,4,4,0,1,48,120.5,44,87,50.6,13.8,32.5,42.3,18.8,21.5,87.2,8,38.3,46.3,27.3,13,7.3,4.3,3,20.8,20.5,13.8
Boston Celtics,4,3,1,0.75,48,104.5,40.8,85,47.9,12,35.5,33.8,11,16,68.8,9.3,38.5,47.8,27.8,15,6.8,4.3,1.5,16.3,18,6.3
Brooklyn Nets,3,3,0,1,48,114,42.3,88,48.1,19.3,46.3,41.7,10,11.3,88.2,6,38,44,33,16,7.7,9.7,4.7,17.7,14,18
Detroit Pistons,4,3,1,0.75,48,110,42.3,87.3,48.4,13,33.3,39.1,12.5,15,83.3,10.8,37,47.8,27.5,14,8.5,6.8,2.5,14,16.3,17
Indiana Pacers,4,3,1,0.75,48,108.8,43.3,87.5,49.4,11.5,29,39.7,10.8,15,71.7,8.8,36.8,45.5,23.5,13.5,8.5,4.5,4.5,16.3,15.8,11.8
Miami Heat,4,3,1,0.75,48,102.8,36.3,81,44.8,11,31.5,34.9,19.3,22.5,85.6,3.8,40.5,44.3,23.8,13.8,7.3,4,3.8,18.8,19.8,4
Denver Nuggets,2,2,0,1,48,123,44.5,83,53.6,16,33,48.5,18,23.5,76.6,9.5,35,44.5,28,15.5,8,5,4,16,24.5,17
Golden State Warriors,2,2,0,1,48,131,47.5,87.5,54.3,14.5,34.5,42,21.5,23,93.5,5.5,43.5,49,30,13,8,7,2,15.5,18,28
Houston Rockets,2,2,0,1,48,117,40,89.5,44.7,19,55.5,34.2,18,22.5,80,10,38.5,48.5,28,13.5,10.5,6,3,13,17,20.5
Los Angeles Clippers,2,2,0,1,48,112.5,38.5,82,47,8.5,27,31.5,27,34.5,78.3,8,40,48,25,14,4,5,3,16,24,8
Los Angeles Lakers,2,2,0,1,48,105.5,38.5,90.5,42.5,9,32,28.1,19.5,26.5,73.6,11,39.5,50.5,23,11.5,6.5,4.5,5.5,19.5,22,7
Milwaukee Bucks,4,2,2,0.5,48,110.8,40.8,82.5,49.4,11.8,30.5,38.5,17.5,24.3,72.2,6.8,34,40.8,25.5,12.8,6.8,6,1.8,20.3,21,3
New Orleans Pelicans,2,2,0,1,55.5,114,41,100,41,12.5,37.5,33.3,19.5,24,81.3,10,43.5,53.5,27.5,14,11.5,3.5,5.5,18.5,25.5,5
Oklahoma City Thunder,2,2,0,1,48,96.5,32.5,80,40.6,10.5,32,32.8,21,25.5,82.4,11,39,50,21.5,13,11.5,5,3.5,18,21.5,22.5
Philadelphia 76ers,3,2,1,0.667,48,115.3,42.7,84.7,50.4,13.7,31.3,43.6,16.3,24.3,67.1,7.7,37.7,45.3,28.7,15.3,7.3,6.7,4.3,20,19,4.3
Phoenix Suns,2,2,0,1,48,108.5,41.5,88,47.2,9,28.5,31.6,16.5,22.5,73.3,11,41.5,52.5,28.5,13.5,4.5,4,4,14,20.5,6.5
Portland Trail Blazers,2,2,0,1,50.5,124,46.5,95,48.9,14.5,32.5,44.6,16.5,19,86.8,8.5,40.5,49,23,12.5,5,5.5,5.5,17.5,18.5,10
Sacramento Kings,2,2,0,1,48,105.5,41,84.5,48.5,8.5,25,34,15,19.5,76.9,8.5,35.5,44,25.5,11.5,5,7.5,1.5,16,18.5,3.5
San Antonio Spurs,2,2,0,1,48,110,44.5,89,50,9.5,19.5,48.7,11.5,16,71.9,11,37,48,29,12.5,6.5,4.5,4.5,15,15,24.5
Washington Wizards,3,2,1,0.667,48,103,39.3,85.3,46.1,12.3,34.7,35.6,12,14.3,83.7,8,33.7,41.7,28.3,13.7,6.3,5,1.3,17.7,18.3,-1.3
Charlotte Hornets,4,1,3,0.25,49.3,115.8,41.5,86,48.3,12,29.8,40.3,20.8,28,74.1,7.5,36.5,44,23.3,14.5,6,6.3,4.5,16.3,23.5,-0.5
Minnesota Timberwolves,2,1,1,0.5,48,117.5,43.5,90.5,48.1,9.5,28.5,33.3,21,27,77.8,10.5,38,48.5,22,13,7,4,6.5,18.5,19.5,8.5
New York Knicks,4,1,3,0.25,50.5,104.5,42.8,93.5,45.7,8,26,30.8,11,15,73.3,10.3,40.5,50.8,24.5,15.5,5.8,6,5.5,19.5,17,2
Utah Jazz,2,1,1,0.5,48,105,41,88.5,46.3,11.5,32.5,35.4,11.5,13,88.5,6.5,40,46.5,23.5,12,6.5,6.5,2,17,17.5,13.5
Atlanta Hawks,3,0,3,0,48,101.7,36.3,85,42.7,13.7,38.7,35.3,15.3,19.3,79.3,7,35.3,42.3,27,13.3,5.7,4.7,3,19.3,20.7,-9.3
Dallas Mavericks,2,0,2,0,48,112,42,88,47.7,13.5,30.5,44.3,14.5,19,76.3,10,30,40,27,15,8.5,3,2.5,19.5,18.5,-5.5
Memphis Grizzlies,2,0,2,0,48,110,39,84.5,46.2,11.5,32,35.9,20.5,25,82,10,30,40,25.5,15,9.5,3.5,1.5,24,22.5,-5
Orlando Magic,4,0,4,0,48,90,34.5,88.3,39.1,8,33,24.2,13,15.3,85.2,8,33.8,41.8,21.5,12,7.5,3.8,5,15.5,16.5,-13
