TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Houston Rockets,4,4,0,1,48,116.3,40,79.5,50.3,16.8,39.3,42.7,19.5,24.3,80.4,8.5,36.5,45,22,16.8,9.8,5.3,3.3,20.8,20,17.5
Oklahoma City Thunder,4,3,1,0.75,48,99.3,37.5,81,46.3,8.8,25.8,34,15.5,20.8,74.7,10.8,32,42.8,18.5,14.5,12.3,5,3.5,19,17.5,9.8
Atlanta Hawks,2,2,0,1,48,101.5,39,88.5,44.1,10.5,29.5,35.6,13,15.5,83.9,10.5,37.5,48,22.5,15.5,7.5,4,7,23.5,18.5,9.5
Denver Nuggets,4,2,2,0.5,48,94.8,35.3,80.5,43.8,11.3,31.5,35.7,13,16.3,80,8.3,34.3,42.5,20.3,14.8,5.5,2.3,4,15.8,19,-1.8
Miami Heat,2,2,0,1,48,93.5,35,80,43.8,9.5,27,35.2,14,19,73.7,7.5,35,42.5,15.5,14,7.5,6,6,18,19,5.5
Minnesota Timberwolves,4,2,2,0.5,48,103.5,37.3,79,47.2,8.5,20.8,41,20.5,25,82,6,29.8,35.8,18,15,9.8,2,6,17.5,21,-4.5
New York Knicks,2,2,0,1,48,111.5,41,85,48.2,10,20.5,48.8,19.5,24,81.3,9.5,31,40.5,20.5,11.5,5,5.5,8,22.5,21.5,3.5
Philadelphia 76ers,2,2,0,1,48,105.5,39,83,47,8,21,38.1,19.5,26,75,8.5,47,55.5,21.5,21,8,6.5,5,26,21,14
Portland Trail Blazers,4,2,2,0.5,49.3,100.3,37.5,87.5,42.9,9,26.8,33.6,16.3,20.5,79.3,7.5,36.8,44.3,16.5,13,8.8,6.5,6.3,22.3,18.8,0
Boston Celtics,2,1,1,0.5,48,96,35,82.5,42.4,10.5,26,40.4,15.5,19.5,79.5,6.5,30,36.5,20,13.5,10.5,3.5,4,18,19,-4.5
Brooklyn Nets,2,1,1,0.5,48,112,39,80,48.8,12,30,40,22,29.5,74.6,7,31.5,38.5,20,15,7.5,3,4.5,21.5,24,1.5
Charlotte Hornets,2,1,1,0.5,48,96.5,33.5,81.5,41.1,9,25.5,35.3,20.5,26.5,77.4,6.5,33,39.5,17,10,8,2,7.5,18.5,21.5,-0.5
Chicago Bulls,2,1,1,0.5,48,91.5,35,85.5,40.9,6,19,31.6,15.5,20.5,75.6,8.5,36,44.5,18,12.5,6,2,6.5,17.5,17,-13.5
Cleveland Cavaliers,2,1,1,0.5,48,105,38,80,47.5,11,31,35.5,18,21.5,83.7,8.5,35,43.5,25,13.5,7.5,3,5.5,17,19,3
Golden State Warriors,4,1,3,0.25,48,98.8,39.5,87,45.4,6.8,20.5,32.9,13,16,81.3,9.5,32.3,41.8,25.5,15.8,8.5,6,4.8,17.8,20,-16
Indiana Pacers,2,1,1,0.5,48,96.5,37.5,82.5,45.5,8.5,24.5,34.7,13,16,81.3,11,33,44,19,13,8,2.5,6,17.5,15,-2.5
Los Angeles Clippers,4,1,3,0.25,48,104.3,37,78.5,47.1,8.5,27.8,30.6,21.8,29.3,74.4,9.8,28.5,38.3,20,15.5,11,3.8,5,20.3,23.5,-8.8
Milwaukee Bucks,2,1,1,0.5,48,112.5,42.5,79,53.8,7.5,19,39.5,20,24.5,81.6,8,32.5,40.5,20.5,14,6.5,6,2.5,25,21,2
New Orleans Pelicans,4,1,3,0.25,48,106,42.8,88.8,48.2,10.8,25.8,41.7,9.8,13.3,73.6,7.3,30.8,38,25.8,14.3,7.3,7.3,3,19.5,18.5,-9.3
Phoenix Suns,4,1,3,0.25,48,94.8,36,86.3,41.7,8.5,24.3,35.1,14.3,19,75,9,35.8,44.8,17.5,15.5,6,5,6.8,25,19.3,-15.3
San Antonio Spurs,4,1,3,0.25,49.3,105.8,40.8,86.5,47.1,8.3,22.3,37.1,16,21.5,74.4,8.8,33,41.8,20.8,12.8,7.5,5.8,4.3,24.3,21,-4.5
Toronto Raptors,2,1,1,0.5,48,101,37.5,83,45.2,9,28.5,31.6,17,22.5,75.6,10.5,35,45.5,21.5,14,9.5,8.5,5,22.5,20.5,2.5
Dallas Mavericks,3,0,3,0,48,97,36.7,81.3,45.1,13,30.3,42.9,10.7,13,82.1,7.3,33,40.3,19.3,18.3,5,4.7,5.7,18.3,18.3,-9.7
Detroit Pistons,2,0,2,0,50.5,87,34,88.5,38.4,6,28,21.4,13,18.5,70.3,11.5,33,44.5,18.5,19,12,5.5,7,19.5,18.5,-17
Los Angeles Lakers,3,0,3,0,48,96,34.7,82.7,41.9,8,25,32,18.7,26,71.8,11,29.7,40.7,20,15.3,9,4.3,4.7,21.7,22,-12.3
Memphis Grizzlies,3,0,3,0,48,87.7,34.7,81.7,42.4,7.7,22.7,33.8,10.7,15,71.1,8.7,27.3,36,19.3,15.3,8,4.7,5.7,23,17.3,-10.3
Orlando Magic,2,0,2,0,48,82.5,30,83,36.1,9.5,31.5,30.2,13,18.5,70.3,8.5,32.5,41,15.5,15.5,8.5,4.5,5.5,19.5,20.5,-27
Sacramento Kings,3,0,3,0,48,97.7,36.3,82.3,44.1,12,24,50,13,17,76.5,7.3,31.7,39,19,15.3,9,5.3,6.3,25,17.3,-9.3
Washington Wizards,2,0,2,0,48,86.5,32,79,40.5,7,22.5,31.1,15.5,20,77.5,10.5,27.5,38,17,18,8,1.5,3,19,18.5,-25
