TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
Minnesota Timberwolves,4,4,0,1,48,118.5,42.8,86.8,49.3,8,23,34.8,25,28.8,87,11.5,32.3,43.8,23.5,12,5.8,4.5,4,19,23,8.5,
Golden State Warriors,4,3,1,0.75,48,125.5,44,84.5,52.1,12.3,29,42.2,25.3,31.8,79.5,8.8,32.5,41.3,31.3,15,9.5,8,3.8,23.3,20.8,8,
New Orleans Pelicans,4,3,1,0.75,48,112,42.8,90.8,47.1,9.8,27.8,35.1,16.8,21.8,77,8.3,41.5,49.8,30.5,13.5,10,8,3.3,19.3,19.8,4.3,
Oklahoma City Thunder,3,3,0,1,48,122.7,45.7,89,51.3,12.3,30.7,40.2,19,25.3,75,13,31,44,25.3,13,9.7,7.7,2.3,24,21,9,
Portland Trail Blazers,4,3,1,0.75,48,108.5,39.5,93.5,42.2,12.3,30,40.8,17.3,20,86.3,13.8,36.3,50,23.5,11.8,8.3,6.5,5,23.5,17.3,7.3,
Utah Jazz,4,3,1,0.75,48,113,43,82.3,52.3,11.3,29.5,38.1,15.8,21.3,74.1,9.8,32.3,42,26.5,15.8,9,5,3.8,23.5,20.3,8.8,
Houston Rockets,4,2,2,0.5,48,106.5,36.3,86.8,41.8,13.8,42,32.7,20.3,24.5,82.7,12,30.8,42.8,19.5,13.3,7,5.5,5.3,20.3,20.5,-0.8,
Indiana Pacers,2,2,0,1,48,110,42.5,89.5,47.5,11,29.5,37.3,14,17.5,80,14.5,26.5,41,24,10,7,3,4.5,14,19.5,6,
Memphis Grizzlies,4,2,2,0.5,48,108.3,39.3,83.5,47,10.5,28.8,36.5,19.3,25,77,10.5,31.3,41.8,24.5,14,6,5.8,5.8,26.8,22,-1.3,
Miami Heat,2,2,0,1,48,97,34,83,41,13,35.5,36.6,16,20,80,9.5,27.5,37,22.5,12.5,11,7,4.5,20.5,22,4,
Philadelphia 76ers,2,2,0,1,48,110.5,40.5,83.5,48.5,10,32.5,30.8,19.5,26,75,8,40,48,29.5,16,10.5,5,4.5,22,21,9,
San Antonio Spurs,3,2,1,0.667,48,113,41.3,84.7,48.8,10.7,25.3,42.1,19.7,24,81.9,9.7,31.3,41,26.3,14.3,11,5.7,3.3,23,21.7,9.3,
Boston Celtics,2,1,1,0.5,48,116,40.5,95,42.6,14.5,35.5,40.8,20.5,21.5,95.3,10.5,36,46.5,24.5,10.5,7,5,5,29.5,18,0.5,
Charlotte Hornets,2,1,1,0.5,48,100,35,90,38.9,11,29.5,37.3,19,24,79.2,11.5,36.5,48,21.5,12.5,8.5,6,5.5,18.5,21.5,3.5,
Cleveland Cavaliers,2,1,1,0.5,50.5,110,40.5,88.5,45.8,11.5,34.5,33.3,17.5,23.5,74.5,8,37.5,45.5,23,14,9.5,5.5,6.5,24,21,-4.5,
Dallas Mavericks,3,1,2,0.333,48,102.3,34.7,82.7,41.9,15,37.7,39.8,18,22,81.8,10.3,33,43.3,22,17,5.7,5.7,4.7,21.7,18.7,0.7,
Denver Nuggets,3,1,2,0.333,48,119.3,46,89.7,51.3,9,28.3,31.8,18.3,23.7,77.5,12.7,30,42.7,28.7,16.3,9.3,6.7,4,26,20,4,
Detroit Pistons,2,1,1,0.5,48,95,36,88,40.9,9.5,29.5,32.2,13.5,19,71.1,9.5,35.5,45,19,11,8,5.5,4.5,18,17,-2.5,
Los Angeles Lakers,4,1,3,0.25,48,107,42.3,91,46.4,8.8,26,33.7,13.8,19.8,69.6,11.3,33.5,44.8,23.5,16.3,8.3,5.3,3.3,22.3,20,-5.3,
New York Knicks,2,1,1,0.5,48,106,38,85,44.7,12,29.5,40.7,18,20.5,87.8,12,30,42,24,19.5,7.5,4.5,4.5,24,20,-0.5,
Washington Wizards,2,1,1,0.5,48,106,40.5,85,47.6,10,31.5,31.7,15,23,65.2,10,37,47,27,16.5,8.5,4.5,5,22,19.5,4,
Atlanta Hawks,2,0,2,0,48,105,39,89.5,43.6,10,33,30.3,17,22,77.3,14,32,46,23,14.5,9.5,5,6.5,23,20,-7,
Brooklyn Nets,2,0,2,0,48,110.5,40.5,90.5,44.8,15.5,42.5,36.5,14,16.5,84.8,11.5,29,40.5,28.5,13.5,9,5,6,18,17,-8,
Chicago Bulls,2,0,2,0,48,104.5,39,99,39.4,9.5,33,28.8,17,18,94.4,12,34.5,46.5,24,10.5,8.5,3,5,24,16,-8,
Milwaukee Bucks,2,0,2,0,48,109,44,87,50.6,7,24.5,28.6,14,20,70,8,30.5,38.5,28.5,16,11,8,3.5,17,19.5,-7,
Orlando Magic,2,0,2,0,48,100,37.5,86,43.6,8.5,25.5,33.3,16.5,24,68.8,8,31,39,22,13.5,9,4,4.5,16,19.5,-9.5,
Phoenix Suns,4,0,4,0,48,99.8,36.3,89.8,40.4,8.3,31,26.6,19,26.5,71.7,10.8,32.5,43.3,20,14,9,3.8,4.5,24.3,23.5,-19.5,
Sacramento Kings,4,0,4,0,48,102.5,40.8,87.3,46.7,8,21.5,37.2,13,17.8,73.2,9.5,29.3,38.8,23.3,15,10.3,5.5,5.8,21.3,16.8,-14,
Toronto Raptors,2,0,2,0,48,98.5,36.5,86,42.4,11.5,32.5,35.4,14,20,70,8,37.5,45.5,21,14.5,5.5,6,6,22.5,18,-8,
