TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Houston Rockets,4,4,0,1,48,122.8,41.5,83,50,17.3,39.8,43.4,22.5,28,80.4,10.5,30.8,41.3,25.3,9.8,6.3,4.8,4,20.3,21,15.8
Boston Celtics,2,2,0,1,48,104,40.5,90.5,44.8,8.5,34,25,14.5,20,72.5,13,38,51,26,11,6.5,3,4,19.5,18.5,7.5
Detroit Pistons,2,2,0,1,48,111,43.5,87.5,49.7,11.5,29.5,39,12.5,18.5,67.6,11.5,30.5,42,28.5,16.5,8.5,2.5,4,21.5,19.5,12
Golden State Warriors,3,2,1,0.667,48,118,44.3,88.3,50.2,15.3,36.3,42.2,14,18,77.8,8.7,38.7,47.3,32,16,8.3,8,2,19,14.7,10.3
Memphis Grizzlies,3,2,1,0.667,48,96.7,36.3,80.3,45.2,8.7,23.3,37.1,15.3,18,85.2,7.7,29.3,37,22.3,15.7,8.3,5.7,5,21.7,16.3,-2.7
Philadelphia 76ers,2,2,0,1,50.5,119,41,84,48.8,12,31.5,38.1,25,34,73.5,7,44.5,51.5,32.5,21,7.5,6.5,5,23.5,24,9
Phoenix Suns,4,2,2,0.5,48,110,40.5,82.3,49.2,11.3,27,41.7,17.8,23.8,74.7,10,32.8,42.8,23,18.5,4.8,4.5,5.8,22,18.8,-2.5
Portland Trail Blazers,4,2,2,0.5,48,110.3,41.5,84.3,49.3,11.8,27.5,42.7,15.5,19.5,79.5,8.3,32.5,40.8,21.5,13.5,6.3,4.5,3.5,20,17.3,0
San Antonio Spurs,3,2,1,0.667,48,103.3,41,88,46.6,7,23.7,29.6,14.3,16,89.6,13,32.3,45.3,24.7,10.7,7.7,7.7,3.3,17.7,16,4
Utah Jazz,4,2,2,0.5,48,108,40,78.8,50.8,10.8,29.8,36.1,17.3,22,78.4,8,31.8,39.8,24,17.5,8.3,6,2,21,17.5,4.5
Atlanta Hawks,2,1,1,0.5,48,109.5,40,78,51.3,13,30.5,42.6,16.5,19.5,84.6,6,34.5,40.5,26.5,20,9,5,3,20,19,-3.5
Brooklyn Nets,2,1,1,0.5,48,97.5,37.5,77,48.7,11.5,30,38.3,11,13,84.6,7.5,33,40.5,22,18,3,5,5.5,21,12,-6.5
Charlotte Hornets,2,1,1,0.5,48,106,39.5,87,45.4,10,27,37,17,25,68,10.5,35.5,46,23,14,6.5,5,5,21,20,-1
Chicago Bulls,2,1,1,0.5,48,109,41.5,86.5,48,7.5,24.5,30.6,18.5,25,74,4.5,36,40.5,21.5,13,5,6.5,4,19.5,18.5,-8.5
Cleveland Cavaliers,2,1,1,0.5,50.5,119.5,44.5,86,51.7,17,39.5,43,13.5,19.5,69.2,7.5,31.5,39,29.5,15,2.5,2.5,3,18,18,-13
Denver Nuggets,4,1,3,0.25,50.5,108.8,38.5,85.5,45,13,33.8,38.5,18.8,23.8,78.9,10.5,35.5,46,23.3,14.3,4,4.5,3,20.3,21,-3.3
Indiana Pacers,2,1,1,0.5,48,110,44.5,84.5,52.7,10,23.5,42.6,11,14.5,75.9,10.5,32,42.5,25.5,17.5,5.5,3.5,6,19.5,17,3
Miami Heat,2,1,1,0.5,50.5,115.5,43.5,86.5,50.3,13,33,39.4,15.5,20.5,75.6,12,34,46,23,19,6,4.5,3.5,26,20.5,4.5
Milwaukee Bucks,2,1,1,0.5,48,95.5,36.5,80,45.6,5.5,22,25,17,20.5,82.9,11,28.5,39.5,21,16.5,8,0.5,5,19.5,14.5,-6.5
Oklahoma City Thunder,4,1,3,0.25,48,107,40.5,85.3,47.5,8.3,27.5,30,17.8,21.8,81.6,10.8,27.8,38.5,21.5,15.8,8.3,6,4.5,24.3,20,-4.3
Orlando Magic,2,1,1,0.5,48,113,43,90.5,47.5,11.5,34,33.8,15.5,20.5,75.6,11,36.5,47.5,26,16.5,4,7,6,23,19,0
Toronto Raptors,2,1,1,0.5,48,109,39,82,47.6,10.5,31,33.9,20.5,23.5,87.2,8.5,28.5,37,25.5,12,5,5.5,2.5,24,19.5,-0.5
Washington Wizards,2,1,1,0.5,48,101.5,39,82.5,47.3,9,24,37.5,14.5,21,69,11.5,30,41.5,24.5,9,5.5,4,4,16.5,19,-1
Dallas Mavericks,4,0,4,0,48,92.5,36.8,85,43.2,10,31,32.3,9,11.3,80,7.5,30.3,37.8,20.3,12.8,5.3,3.8,4.3,19.5,17.5,-10.8
Los Angeles Clippers,4,0,4,0,48,110,42,87.3,48.1,10.5,29.3,35.9,15.5,21.3,72.9,11,29.3,40.3,24,13.5,4.3,4,4.5,23,19,-8.5
Los Angeles Lakers,4,0,4,0,48,101.8,37,85.3,43.4,8.3,27.8,29.7,19.5,26.8,72.9,11.5,31.8,43.3,18.5,17.5,7.8,2.8,6.8,22,20.8,-15
New Orleans Pelicans,4,0,4,0,48,101.3,37.5,86.8,43.2,9,32,28.1,17.3,19.3,89.6,10.5,28.3,38.8,24.3,16.3,8.8,5,3,17.8,17,-13.3
New York Knicks,2,0,2,0,48,106,42.5,87.5,48.6,12,26,46.2,9,13,69.2,9.5,29.5,39,25,13.5,7.5,3,5,22,13.5,-7
Sacramento Kings,3,0,3,0,48,100.7,39.3,86.3,45.6,10.7,26.7,40,11.3,14,81,12.7,26,38.7,21,16,7,2.3,6,22.3,16.7,-15.3
