,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
79,Denver Nuggets,86,Detroit Pistons,103,0.0,1.0,,,,,,
80,Chicago Bulls,94,Indiana Pacers,111,0.0,1.0,,,,,,
81,Sacramento Kings,91,Milwaukee Bucks,117,0.0,1.0,,,,,,
82,Minnesota Timberwolves,92,Oklahoma City Thunder,112,0.0,1.0,,,,,,
83,Washington Wizards,86,Orlando Magic,88,0.0,1.0,,,,,,
84,Cleveland Cavaliers,102,Philadelphia 76ers,101,1.0,0.0,,,,,,
85,Los Angeles Clippers,116,San Antonio Spurs,92,1.0,0.0,,,,,,
86,Denver Nuggets,123,Boston Celtics,107,1.0,0.0,,,,,,
87,Milwaukee Bucks,75,Dallas Mavericks,86,0.0,1.0,,,,,,
88,Phoenix Suns,108,Los Angeles Lakers,119,0.0,1.0,,,,,,
89,Portland Trail Blazers,100,Memphis Grizzlies,94,1.0,0.0,,,,,,
90,Utah Jazz,114,New York Knicks,109,1.0,0.0,,,,,,
91,Sacramento Kings,96,Toronto Raptors,91,1.0,0.0,,,,,,
92,Orlando Magic,80,Chicago Bulls,112,0.0,1.0,,,,,,
93,Indiana Pacers,100,Charlotte Hornets,122,0.0,1.0,,,,,,
94,New Orleans Pelicans,106,Golden State Warriors,116,0.0,1.0,,,,,,
95,Detroit Pistons,82,Los Angeles Clippers,114,0.0,1.0,,,,,,
96,Miami Heat,85,Oklahoma City Thunder,97,0.0,1.0,,,,,,
97,Utah Jazz,109,Philadelphia 76ers,84,1.0,0.0,,,,,,
98,Houston Rockets,114,Washington Wizards,106,1.0,0.0,,,,,,
99,Minnesota Timberwolves,110,Brooklyn Nets,119,0.0,1.0,,,,,,
100,Atlanta Hawks,110,Cleveland Cavaliers,106,1.0,0.0,,,,,,
101,Dallas Mavericks,109,Los Angeles Lakers,97,1.0,0.0,,,,,,
102,Denver Nuggets,107,Memphis Grizzlies,108,0.0,1.0,,,,,,
103,Phoenix Suns,121,Portland Trail Blazers,124,0.0,1.0,,,,,,
104,New Orleans Pelicans,94,Sacramento Kings,102,0.0,1.0,,,,,,
105,Chicago Bulls,107,Atlanta Hawks,115,0.0,1.0,,,,,,
106,Utah Jazz,98,Charlotte Hornets,104,0.0,1.0,,,,,,
107,Dallas Mavericks,95,Golden State Warriors,116,0.0,1.0,,,,,,
108,Philadelphia 76ers,115,Indiana Pacers,122,0.0,1.0,,,,,,
109,Portland Trail Blazers,80,Los Angeles Clippers,111,0.0,1.0,,,,,,
110,Brooklyn Nets,96,New York Knicks,110,0.0,1.0,,,,,,
111,Toronto Raptors,112,Oklahoma City Thunder,102,1.0,0.0,,,,,,
112,Minnesota Timberwolves,123,Orlando Magic,107,1.0,0.0,,,,,,
113,Detroit Pistons,100,Phoenix Suns,107,0.0,1.0,,,,,,
114,Houston Rockets,101,San Antonio Spurs,99,1.0,0.0,,,,,,
115,Boston Celtics,93,Washington Wizards,118,0.0,1.0,,,,,,
116,Golden State Warriors,125,Denver Nuggets,101,1.0,0.0,,,,,,
117,Chicago Bulls,98,Miami Heat,95,1.0,0.0,,,,,,
118,New Orleans Pelicans,112,Milwaukee Bucks,106,1.0,0.0,,,,,,
119,Los Angeles Lakers,101,Sacramento Kings,91,1.0,0.0,,,,,,
120,New York Knicks,87,Boston Celtics,115,0.0,1.0,,,,,,
121,Toronto Raptors,113,Charlotte Hornets,111,1.0,0.0,,,,,,
122,Los Angeles Clippers,110,Oklahoma City Thunder,108,1.0,0.0,,,,,,
