,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
0,Boston Celtics,99,Cleveland Cavaliers,102,0.0,1.0,,,,,,
1,Houston Rockets,122,Golden State Warriors,121,1.0,0.0,,,,,,
2,Milwaukee Bucks,108,Boston Celtics,100,1.0,0.0,,,,,,
3,Atlanta Hawks,117,Dallas Mavericks,111,1.0,0.0,,,,,,
4,Charlotte Hornets,90,Detroit Pistons,102,0.0,1.0,,,,,,
5,Brooklyn Nets,131,Indiana Pacers,140,0.0,1.0,,,,,,
6,New Orleans Pelicans,91,Memphis Grizzlies,103,0.0,1.0,,,,,,
7,Miami Heat,109,Orlando Magic,116,0.0,1.0,,,,,,
8,Portland Trail Blazers,124,Phoenix Suns,76,1.0,0.0,,,,,,
9,Houston Rockets,105,Sacramento Kings,100,1.0,0.0,,,,,,
10,Minnesota Timberwolves,99,San Antonio Spurs,107,0.0,1.0,,,,,,
11,Denver Nuggets,96,Utah Jazz,106,0.0,1.0,,,,,,
12,Philadelphia 76ers,115,Washington Wizards,120,0.0,1.0,,,,,,
13,Los Angeles Clippers,108,Los Angeles Lakers,92,1.0,0.0,,,,,,
14,New York Knicks,84,Oklahoma City Thunder,105,0.0,1.0,,,,,,
15,Chicago Bulls,100,Toronto Raptors,117,0.0,1.0,,,,,,
16,Orlando Magic,121,Brooklyn Nets,126,0.0,1.0,,,,,,
17,Atlanta Hawks,91,Charlotte Hornets,109,0.0,1.0,,,,,,
18,Sacramento Kings,93,Dallas Mavericks,88,1.0,0.0,,,,,,
19,Portland Trail Blazers,114,Indiana Pacers,96,1.0,0.0,,,,,,
20,Cleveland Cavaliers,116,Milwaukee Bucks,97,1.0,0.0,,,,,,
21,Utah Jazz,97,Minnesota Timberwolves,100,0.0,1.0,,,,,,
22,Golden State Warriors,128,New Orleans Pelicans,120,1.0,0.0,,,,,,
23,Boston Celtics,102,Philadelphia 76ers,92,1.0,0.0,,,,,,
24,Los Angeles Lakers,132,Phoenix Suns,130,1.0,0.0,,,,,,
25,Detroit Pistons,111,Washington Wizards,115,0.0,1.0,,,,,,
