,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
26,San Antonio Spurs,87,Chicago Bulls,77,1.0,0.0,,,,,,
27,Orlando Magic,114,Cleveland Cavaliers,93,1.0,0.0,,,,,,
28,Sacramento Kings,79,Denver Nuggets,96,0.0,1.0,,,,,,
29,Dallas Mavericks,91,Houston Rockets,107,0.0,1.0,,,,,,
30,Phoenix Suns,88,Los Angeles Clippers,130,0.0,1.0,,,,,,
31,Golden State Warriors,101,Memphis Grizzlies,111,0.0,1.0,,,,,,
32,Indiana Pacers,108,Miami Heat,112,0.0,1.0,,,,,,
33,Portland Trail Blazers,110,Milwaukee Bucks,113,0.0,1.0,,,,,,
34,Detroit Pistons,111,New York Knicks,107,1.0,0.0,,,,,,
35,Philadelphia 76ers,94,Toronto Raptors,128,0.0,1.0,,,,,,
36,Oklahoma City Thunder,87,Utah Jazz,96,0.0,1.0,,,,,,
37,Atlanta Hawks,104,Brooklyn Nets,116,0.0,1.0,,,,,,
38,New Orleans Pelicans,119,Los Angeles Lakers,112,1.0,0.0,,,,,,
39,Minnesota Timberwolves,115,Oklahoma City Thunder,113,1.0,0.0,,,,,,
40,Golden State Warriors,133,Dallas Mavericks,103,1.0,0.0,,,,,,
41,Washington Wizards,109,Denver Nuggets,104,1.0,0.0,,,,,,
42,Philadelphia 76ers,97,Detroit Pistons,86,1.0,0.0,,,,,,
43,Memphis Grizzlies,98,Houston Rockets,90,1.0,0.0,,,,,,
44,Atlanta Hawks,93,Miami Heat,104,0.0,1.0,,,,,,
45,Charlotte Hornets,94,Milwaukee Bucks,103,0.0,1.0,,,,,,
46,Sacramento Kings,115,Phoenix Suns,117,0.0,1.0,,,,,,
47,Toronto Raptors,97,San Antonio Spurs,101,0.0,1.0,,,,,,
48,New York Knicks,89,Boston Celtics,110,0.0,1.0,,,,,,
49,Chicago Bulls,112,Cleveland Cavaliers,119,0.0,1.0,,,,,,
50,Utah Jazz,84,Los Angeles Clippers,102,0.0,1.0,,,,,,
51,Indiana Pacers,130,Minnesota Timberwolves,107,1.0,0.0,,,,,,
52,Brooklyn Nets,121,Orlando Magic,125,0.0,1.0,,,,,,
53,New Orleans Pelicans,93,Portland Trail Blazers,103,0.0,1.0,,,,,,
54,Cleveland Cavaliers,107,Brooklyn Nets,112,0.0,1.0,,,,,,
55,Denver Nuggets,93,Charlotte Hornets,110,0.0,1.0,,,,,,
56,Memphis Grizzlies,94,Dallas Mavericks,103,0.0,1.0,,,,,,
57,Minnesota Timberwolves,101,Detroit Pistons,122,0.0,1.0,,,,,,
58,Toronto Raptors,112,Golden State Warriors,117,0.0,1.0,,,,,,
59,Washington Wizards,99,Los Angeles Lakers,102,0.0,1.0,,,,,,
60,San Antonio Spurs,117,Miami Heat,100,1.0,0.0,,,,,,
61,Indiana Pacers,96,Oklahoma City Thunder,114,0.0,1.0,,,,,,
62,Houston Rockets,105,Philadelphia 76ers,104,1.0,0.0,,,,,,
63,Utah Jazz,88,Phoenix Suns,97,0.0,1.0,,,,,,
64,Atlanta Hawks,86,Chicago Bulls,91,0.0,1.0,,,,,,
65,Dallas Mavericks,91,Memphis Grizzlies,96,0.0,1.0,,,,,,
66,Boston Celtics,96,Milwaukee Bucks,89,1.0,0.0,,,,,,
67,Los Angeles Clippers,104,Portland Trail Blazers,103,1.0,0.0,,,,,,
68,New Orleans Pelicans,114,Sacramento Kings,106,1.0,0.0,,,,,,
69,Denver Nuggets,105,Atlanta Hawks,100,1.0,0.0,,,,,,
70,Houston Rockets,109,Charlotte Hornets,93,1.0,0.0,,,,,,
71,Washington Wizards,117,Golden State Warriors,120,0.0,1.0,,,,,,
72,Toronto Raptors,101,Los Angeles Lakers,92,1.0,0.0,,,,,,
73,Oklahoma City Thunder,116,Minnesota Timberwolves,119,0.0,1.0,,,,,,
74,Brooklyn Nets,86,New York Knicks,107,0.0,1.0,,,,,,
75,San Antonio Spurs,87,Orlando Magic,114,0.0,1.0,,,,,,
76,Oklahoma City Thunder,101,Chicago Bulls,69,1.0,0.0,,,,,,
77,Philadelphia 76ers,112,Dallas Mavericks,110,1.0,0.0,,,,,,
78,Detroit Pistons,95,Los Angeles Clippers,87,1.0,0.0,,,,,,
79,Houston Rockets,89,Memphis Grizzlies,103,0.0,1.0,,,,,,
80,Boston Celtics,96,Miami Heat,90,1.0,0.0,,,,,,
81,Cleveland Cavaliers,101,New Orleans Pelicans,123,0.0,1.0,,,,,,
82,Phoenix Suns,107,Portland Trail Blazers,114,0.0,1.0,,,,,,
83,Los Angeles Lakers,81,Utah Jazz,96,0.0,1.0,,,,,,
84,Milwaukee Bucks,117,Atlanta Hawks,106,1.0,0.0,,,,,,
85,Denver Nuggets,124,Brooklyn Nets,111,1.0,0.0,,,,,,
86,Orlando Magic,113,Charlotte Hornets,120,0.0,1.0,,,,,,
87,New York Knicks,114,Cleveland Cavaliers,95,1.0,0.0,,,,,,
88,Detroit Pistons,115,Golden State Warriors,107,1.0,0.0,,,,,,
89,San Antonio Spurs,94,Indiana Pacers,97,0.0,1.0,,,,,,
90,Washington Wizards,110,Sacramento Kings,83,1.0,0.0,,,,,,
91,San Antonio Spurs,94,Boston Celtics,108,0.0,1.0,,,,,,
92,Philadelphia 76ers,115,Houston Rockets,107,1.0,0.0,,,,,,
93,Golden State Warriors,141,Los Angeles Clippers,113,1.0,0.0,,,,,,
94,Charlotte Hornets,104,Memphis Grizzlies,99,1.0,0.0,,,,,,
95,Minnesota Timberwolves,125,Miami Heat,122,1.0,0.0,,,,,,
96,Orlando Magic,115,New Orleans Pelicans,99,1.0,0.0,,,,,,
97,Denver Nuggets,110,New York Knicks,116,0.0,1.0,,,,,,
98,Toronto Raptors,99,Portland Trail Blazers,85,1.0,0.0,,,,,,
99,Dallas Mavericks,89,Utah Jazz,104,0.0,1.0,,,,,,
100,Phoenix Suns,122,Brooklyn Nets,114,1.0,0.0,,,,,,
101,Sacramento Kings,83,Indiana Pacers,101,0.0,1.0,,,,,,
102,Detroit Pistons,93,Los Angeles Lakers,113,0.0,1.0,,,,,,
103,Oklahoma City Thunder,110,Milwaukee Bucks,91,1.0,0.0,,,,,,
104,Sacramento Kings,86,Boston Celtics,113,0.0,1.0,,,,,,
105,Milwaukee Bucks,121,Charlotte Hornets,126,0.0,1.0,,,,,,
106,Indiana Pacers,124,Cleveland Cavaliers,107,1.0,0.0,,,,,,
107,Toronto Raptors,111,Denver Nuggets,129,0.0,1.0,,,,,,
108,Dallas Mavericks,98,Los Angeles Clippers,119,0.0,1.0,,,,,,
109,Orlando Magic,101,Memphis Grizzlies,99,1.0,0.0,,,,,,
110,Chicago Bulls,91,Miami Heat,97,0.0,1.0,,,,,,
111,Minnesota Timberwolves,104,New Orleans Pelicans,98,1.0,0.0,,,,,,
112,Houston Rockets,119,New York Knicks,97,1.0,0.0,,,,,,
113,Atlanta Hawks,109,Philadelphia 76ers,119,0.0,1.0,,,,,,
114,Portland Trail Blazers,103,Utah Jazz,112,0.0,1.0,,,,,,
115,Phoenix Suns,122,Washington Wizards,116,1.0,0.0,,,,,,
116,Los Angeles Lakers,110,Portland Trail Blazers,113,0.0,1.0,,,,,,
117,Golden State Warriors,112,San Antonio Spurs,92,1.0,0.0,,,,,,
118,Houston Rockets,119,Atlanta Hawks,104,1.0,0.0,,,,,,
119,New Orleans Pelicans,99,Dallas Mavericks,94,1.0,0.0,,,,,,
120,Miami Heat,94,Denver Nuggets,95,0.0,1.0,,,,,,
121,Milwaukee Bucks,96,Detroit Pistons,105,0.0,1.0,,,,,,
122,Brooklyn Nets,112,Los Angeles Lakers,124,0.0,1.0,,,,,,
123,Phoenix Suns,107,New York Knicks,120,0.0,1.0,,,,,,
124,Boston Celtics,101,Oklahoma City Thunder,94,1.0,0.0,,,,,,
125,Chicago Bulls,105,Orlando Magic,83,1.0,0.0,,,,,,
126,Indiana Pacers,110,Philadelphia 76ers,121,0.0,1.0,,,,,,
127,Charlotte Hornets,101,San Antonio Spurs,108,0.0,1.0,,,,,,
128,Toronto Raptors,109,Utah Jazz,100,1.0,0.0,,,,,,
129,Cleveland Cavaliers,130,Washington Wizards,122,1.0,0.0,,,,,,
130,New Orleans Pelicans,96,Chicago Bulls,90,1.0,0.0,,,,,,
131,Golden State Warriors,127,Denver Nuggets,108,1.0,0.0,,,,,,
132,Sacramento Kings,99,Detroit Pistons,108,0.0,1.0,,,,,,
133,Memphis Grizzlies,113,Los Angeles Clippers,104,1.0,0.0,,,,,,
134,Dallas Mavericks,99,Minnesota Timberwolves,112,0.0,1.0,,,,,,
135,Atlanta Hawks,117,Cleveland Cavaliers,115,1.0,0.0,,,,,,
136,Utah Jazz,110,Houston Rockets,137,0.0,1.0,,,,,,
137,Miami Heat,104,Los Angeles Clippers,101,1.0,0.0,,,,,,
138,Memphis Grizzlies,102,Los Angeles Lakers,107,0.0,1.0,,,,,,
139,Charlotte Hornets,94,Minnesota Timberwolves,112,0.0,1.0,,,,,,
140,Indiana Pacers,101,New York Knicks,108,0.0,1.0,,,,,,
141,Boston Celtics,104,Orlando Magic,88,1.0,0.0,,,,,,
142,Oklahoma City Thunder,99,Portland Trail Blazers,103,0.0,1.0,,,,,,
143,Phoenix Suns,95,San Antonio Spurs,112,0.0,1.0,,,,,,
144,Washington Wizards,107,Toronto Raptors,96,1.0,0.0,,,,,,
145,Boston Celtics,110,Atlanta Hawks,107,1.0,0.0,,,,,,
146,Miami Heat,80,Golden State Warriors,97,0.0,1.0,,,,,,
147,Brooklyn Nets,98,Phoenix Suns,92,1.0,0.0,,,,,,
148,Milwaukee Bucks,119,Cleveland Cavaliers,124,0.0,1.0,,,,,,
149,Brooklyn Nets,104,Denver Nuggets,112,0.0,1.0,,,,,,
150,New Orleans Pelicans,117,Indiana Pacers,112,1.0,0.0,,,,,,
151,Charlotte Hornets,113,New York Knicks,118,0.0,1.0,,,,,,
152,Memphis Grizzlies,98,Portland Trail Blazers,97,1.0,0.0,,,,,,
153,Oklahoma City Thunder,86,Sacramento Kings,94,0.0,1.0,,,,,,
154,Los Angeles Clippers,107,San Antonio Spurs,120,0.0,1.0,,,,,,
155,Chicago Bulls,114,Toronto Raptors,119,0.0,1.0,,,,,,
156,Philadelphia 76ers,104,Utah Jazz,97,1.0,0.0,,,,,,
157,Dallas Mavericks,113,Washington Wizards,99,1.0,0.0,,,,,,
158,Los Angeles Lakers,96,Boston Celtics,107,0.0,1.0,,,,,,
159,Indiana Pacers,97,Detroit Pistons,114,0.0,1.0,,,,,,
160,Minnesota Timberwolves,101,Golden State Warriors,125,0.0,1.0,,,,,,
161,New York Knicks,99,Orlando Magic,112,0.0,1.0,,,,,,
162,Miami Heat,126,Phoenix Suns,115,1.0,0.0,,,,,,
163,Oklahoma City Thunder,94,Denver Nuggets,102,0.0,1.0,,,,,,
164,Cleveland Cavaliers,113,Houston Rockets,117,0.0,1.0,,,,,,
165,Philadelphia 76ers,108,Sacramento Kings,109,0.0,1.0,,,,,,
166,New Orleans Pelicans,118,Toronto Raptors,122,0.0,1.0,,,,,,
167,Los Angeles Lakers,95,Washington Wizards,111,0.0,1.0,,,,,,
168,Charlotte Hornets,87,Boston Celtics,90,0.0,1.0,,,,,,
169,Indiana Pacers,105,Chicago Bulls,87,1.0,0.0,,,,,,
170,Atlanta Hawks,104,Detroit Pistons,111,0.0,1.0,,,,,,
171,Los Angeles Clippers,111,Oklahoma City Thunder,120,0.0,1.0,,,,,,
172,Orlando Magic,128,Phoenix Suns,112,1.0,0.0,,,,,,
173,Brooklyn Nets,101,Portland Trail Blazers,97,1.0,0.0,,,,,,
174,Milwaukee Bucks,94,San Antonio Spurs,87,1.0,0.0,,,,,,
175,Miami Heat,84,Utah Jazz,74,1.0,0.0,,,,,,
176,Cleveland Cavaliers,111,Dallas Mavericks,104,1.0,0.0,,,,,,
177,Orlando Magic,107,Denver Nuggets,125,0.0,1.0,,,,,,
178,Philadelphia 76ers,114,Golden State Warriors,135,0.0,1.0,,,,,,
179,Memphis Grizzlies,96,Houston Rockets,111,0.0,1.0,,,,,,
180,Los Angeles Lakers,90,Milwaukee Bucks,98,0.0,1.0,,,,,,
181,Los Angeles Clippers,103,New Orleans Pelicans,111,0.0,1.0,,,,,,
182,Sacramento Kings,91,New York Knicks,118,0.0,1.0,,,,,,
183,Minnesota Timberwolves,110,Phoenix Suns,118,0.0,1.0,,,,,,
184,Chicago Bulls,94,San Antonio Spurs,133,0.0,1.0,,,,,,
185,Brooklyn Nets,106,Utah Jazz,114,0.0,1.0,,,,,,
186,Atlanta Hawks,94,Washington Wizards,113,0.0,1.0,,,,,,
187,Toronto Raptors,94,Boston Celtics,95,0.0,1.0,,,,,,
188,Miami Heat,103,Detroit Pistons,112,0.0,1.0,,,,,,
189,Houston Rockets,118,Indiana Pacers,95,1.0,0.0,,,,,,
190,Dallas Mavericks,99,Oklahoma City Thunder,112,0.0,1.0,,,,,,
191,Orlando Magic,100,Golden State Warriors,110,0.0,1.0,,,,,,
192,Philadelphia 76ers,109,Los Angeles Clippers,105,1.0,0.0,,,,,,
193,Memphis Grizzlies,103,Milwaukee Bucks,110,0.0,1.0,,,,,,
194,Atlanta Hawks,105,New Orleans Pelicans,106,0.0,1.0,,,,,,
195,Cleveland Cavaliers,104,New York Knicks,101,1.0,0.0,,,,,,
196,Los Angeles Lakers,100,Phoenix Suns,93,1.0,0.0,,,,,,
197,Denver Nuggets,82,Portland Trail Blazers,99,0.0,1.0,,,,,,
198,Minnesota Timberwolves,109,Utah Jazz,98,1.0,0.0,,,,,,
199,Sacramento Kings,92,Washington Wizards,110,0.0,1.0,,,,,,
200,Boston Celtics,109,Brooklyn Nets,102,1.0,0.0,,,,,,
201,San Antonio Spurs,97,Dallas Mavericks,91,1.0,0.0,,,,,,
202,Toronto Raptors,129,Houston Rockets,113,1.0,0.0,,,,,,
203,Sacramento Kings,80,Atlanta Hawks,126,0.0,1.0,,,,,,
204,Cleveland Cavaliers,115,Charlotte Hornets,107,1.0,0.0,,,,,,
205,Philadelphia 76ers,115,Los Angeles Lakers,109,1.0,0.0,,,,,,
206,Indiana Pacers,116,Memphis Grizzlies,113,1.0,0.0,,,,,,
207,Washington Wizards,102,Miami Heat,93,1.0,0.0,,,,,,
208,Detroit Pistons,95,Milwaukee Bucks,99,0.0,1.0,,,,,,
209,San Antonio Spurs,86,Minnesota Timberwolves,98,0.0,1.0,,,,,,
210,Toronto Raptors,125,New Orleans Pelicans,116,1.0,0.0,,,,,,
211,Utah Jazz,101,New York Knicks,106,0.0,1.0,,,,,,
212,Chicago Bulls,79,Oklahoma City Thunder,92,0.0,1.0,,,,,,
213,Orlando Magic,94,Portland Trail Blazers,99,0.0,1.0,,,,,,
214,Golden State Warriors,88,Boston Celtics,92,0.0,1.0,,,,,,
215,Houston Rockets,142,Phoenix Suns,116,1.0,0.0,,,,,,
216,Utah Jazz,107,Brooklyn Nets,118,0.0,1.0,,,,,,
217,Charlotte Hornets,120,Chicago Bulls,123,0.0,1.0,,,,,,
218,Los Angeles Clippers,113,Cleveland Cavaliers,118,0.0,1.0,,,,,,
219,Minnesota Timberwolves,111,Dallas Mavericks,87,1.0,0.0,,,,,,
220,New Orleans Pelicans,114,Denver Nuggets,146,0.0,1.0,,,,,,
221,Detroit Pistons,100,Indiana Pacers,107,0.0,1.0,,,,,,
222,Phoenix Suns,122,Los Angeles Lakers,113,1.0,0.0,,,,,,
223,Portland Trail Blazers,82,Sacramento Kings,86,0.0,1.0,,,,,,
224,Oklahoma City Thunder,101,San Antonio Spurs,104,0.0,1.0,,,,,,
225,New York Knicks,84,Toronto Raptors,107,0.0,1.0,,,,,,
226,Miami Heat,91,Washington Wizards,88,1.0,0.0,,,,,,
227,Boston Celtics,110,Atlanta Hawks,99,1.0,0.0,,,,,,
228,Los Angeles Clippers,87,Charlotte Hornets,102,0.0,1.0,,,,,,
229,Milwaukee Bucks,79,Dallas Mavericks,111,0.0,1.0,,,,,,
230,Houston Rockets,105,Memphis Grizzlies,83,1.0,0.0,,,,,,
231,Utah Jazz,125,Orlando Magic,85,1.0,0.0,,,,,,
232,Golden State Warriors,124,Philadelphia 76ers,116,1.0,0.0,,,,,,
233,Sacramento Kings,90,Portland Trail Blazers,102,0.0,1.0,,,,,,
234,Golden State Warriors,118,Brooklyn Nets,111,1.0,0.0,,,,,,
235,Denver Nuggets,109,Los Angeles Lakers,127,0.0,1.0,,,,,,
236,Indiana Pacers,120,Miami Heat,95,1.0,0.0,,,,,,
237,Detroit Pistons,100,Minnesota Timberwolves,97,1.0,0.0,,,,,,
238,Chicago Bulls,105,Phoenix Suns,113,0.0,1.0,,,,,,
239,Washington Wizards,91,Toronto Raptors,100,0.0,1.0,,,,,,
240,Minnesota Timberwolves,102,Charlotte Hornets,118,0.0,1.0,,,,,,
241,Boston Celtics,110,Dallas Mavericks,102,1.0,0.0,,,,,,
242,Cleveland Cavaliers,116,Detroit Pistons,88,1.0,0.0,,,,,,
243,Portland Trail Blazers,100,Memphis Grizzlies,92,1.0,0.0,,,,,,
244,Washington Wizards,99,Milwaukee Bucks,88,1.0,0.0,,,,,,
245,Oklahoma City Thunder,107,New Orleans Pelicans,114,0.0,1.0,,,,,,
246,Los Angeles Clippers,85,New York Knicks,107,0.0,1.0,,,,,,
247,Indiana Pacers,105,Orlando Magic,97,1.0,0.0,,,,,,
248,Utah Jazz,86,Philadelphia 76ers,107,0.0,1.0,,,,,,
249,Denver Nuggets,114,Sacramento Kings,98,1.0,0.0,,,,,,
250,Atlanta Hawks,85,San Antonio Spurs,96,0.0,1.0,,,,,,
251,Chicago Bulls,94,Los Angeles Lakers,103,0.0,1.0,,,,,,
252,Los Angeles Clippers,116,Atlanta Hawks,103,1.0,0.0,,,,,,
253,Washington Wizards,124,Charlotte Hornets,129,0.0,1.0,,,,,,
254,Brooklyn Nets,109,Cleveland Cavaliers,119,0.0,1.0,,,,,,
255,Denver Nuggets,95,Houston Rockets,125,0.0,1.0,,,,,,
256,Dallas Mavericks,95,Memphis Grizzlies,94,1.0,0.0,,,,,,
257,Boston Celtics,98,Miami Heat,104,0.0,1.0,,,,,,
258,Orlando Magic,118,Minnesota Timberwolves,124,0.0,1.0,,,,,,
259,San Antonio Spurs,90,New Orleans Pelicans,107,0.0,1.0,,,,,,
260,Toronto Raptors,100,New York Knicks,108,0.0,1.0,,,,,,
261,Golden State Warriors,91,Oklahoma City Thunder,108,0.0,1.0,,,,,,
262,Portland Trail Blazers,81,Philadelphia 76ers,101,0.0,1.0,,,,,,
263,Milwaukee Bucks,113,Phoenix Suns,107,1.0,0.0,,,,,,
264,Los Angeles Lakers,102,Sacramento Kings,113,0.0,1.0,,,,,,
265,Chicago Bulls,80,Utah Jazz,110,0.0,1.0,,,,,,
266,New York Knicks,104,Atlanta Hawks,116,0.0,1.0,,,,,,
267,Orlando Magic,103,Boston Celtics,118,0.0,1.0,,,,,,
268,Portland Trail Blazers,127,Brooklyn Nets,125,1.0,0.0,,,,,,
269,Charlotte Hornets,99,Cleveland Cavaliers,100,0.0,1.0,,,,,,
270,Memphis Grizzlies,92,Denver Nuggets,104,0.0,1.0,,,,,,
271,Chicago Bulls,94,Golden State Warriors,143,0.0,1.0,,,,,,
272,Toronto Raptors,104,Indiana Pacers,107,0.0,1.0,,,,,,
273,Miami Heat,109,Minnesota Timberwolves,97,1.0,0.0,,,,,,
274,Detroit Pistons,99,Oklahoma City Thunder,98,1.0,0.0,,,,,,
275,New Orleans Pelicans,115,Phoenix Suns,91,1.0,0.0,,,,,,
276,Toronto Raptors,112,Atlanta Hawks,78,1.0,0.0,,,,,,
277,San Antonio Spurs,106,Charlotte Hornets,86,1.0,0.0,,,,,,
278,Oklahoma City Thunder,81,Dallas Mavericks,97,0.0,1.0,,,,,,
279,New Orleans Pelicans,95,Golden State Warriors,110,0.0,1.0,,,,,,
280,New York Knicks,102,Houston Rockets,117,0.0,1.0,,,,,,
281,Boston Celtics,108,Indiana Pacers,98,1.0,0.0,,,,,,
282,Orlando Magic,111,Philadelphia 76ers,130,0.0,1.0,,,,,,
283,Los Angeles Clippers,97,Sacramento Kings,95,1.0,0.0,,,,,,
284,Milwaukee Bucks,108,Utah Jazz,121,0.0,1.0,,,,,,
285,Portland Trail Blazers,108,Washington Wizards,105,1.0,0.0,,,,,,
286,Miami Heat,100,Chicago Bulls,93,1.0,0.0,,,,,,
287,Brooklyn Nets,98,Memphis Grizzlies,88,1.0,0.0,,,,,,
288,Phoenix Suns,108,Minnesota Timberwolves,119,0.0,1.0,,,,,,
289,Detroit Pistons,118,Boston Celtics,108,1.0,0.0,,,,,,
290,Sacramento Kings,110,Golden State Warriors,106,1.0,0.0,,,,,,
291,Brooklyn Nets,103,Houston Rockets,117,0.0,1.0,,,,,,
292,Orlando Magic,109,Indiana Pacers,121,0.0,1.0,,,,,,
293,Los Angeles Lakers,115,Los Angeles Clippers,120,0.0,1.0,,,,,,
294,Portland Trail Blazers,103,New York Knicks,91,1.0,0.0,,,,,,
295,Cleveland Cavaliers,113,Philadelphia 76ers,91,1.0,0.0,,,,,,
296,Dallas Mavericks,108,San Antonio Spurs,115,0.0,1.0,,,,,,
297,Phoenix Suns,104,Chicago Bulls,99,1.0,0.0,,,,,,
298,Miami Heat,97,Cleveland Cavaliers,108,0.0,1.0,,,,,,
299,Washington Wizards,92,Minnesota Timberwolves,89,1.0,0.0,,,,,,
300,Milwaukee Bucks,112,Sacramento Kings,87,1.0,0.0,,,,,,
301,Denver Nuggets,77,Utah Jazz,106,0.0,1.0,,,,,,
302,Brooklyn Nets,109,Dallas Mavericks,104,1.0,0.0,,,,,,
303,Phoenix Suns,107,Detroit Pistons,131,0.0,1.0,,,,,,
304,Indiana Pacers,97,Houston Rockets,118,0.0,1.0,,,,,,
305,Golden State Warriors,127,Los Angeles Lakers,123,1.0,0.0,,,,,,
306,Minnesota Timberwolves,120,New Orleans Pelicans,102,1.0,0.0,,,,,,
307,Miami Heat,86,New York Knicks,115,0.0,1.0,,,,,,
308,Oklahoma City Thunder,108,Orlando Magic,121,0.0,1.0,,,,,,
309,Washington Wizards,113,Philadelphia 76ers,118,0.0,1.0,,,,,,
310,Memphis Grizzlies,95,San Antonio Spurs,104,0.0,1.0,,,,,,
311,Charlotte Hornets,113,Toronto Raptors,126,0.0,1.0,,,,,,
312,Cleveland Cavaliers,121,Atlanta Hawks,114,1.0,0.0,,,,,,
313,Philadelphia 76ers,97,Boston Celtics,108,0.0,1.0,,,,,,
314,Chicago Bulls,110,Denver Nuggets,111,0.0,1.0,,,,,,
315,Utah Jazz,126,Los Angeles Clippers,107,1.0,0.0,,,,,,
316,Milwaukee Bucks,103,Portland Trail Blazers,91,1.0,0.0,,,,,,
317,Sacramento Kings,107,Chicago Bulls,106,1.0,0.0,,,,,,
318,San Antonio Spurs,95,Memphis Grizzlies,79,1.0,0.0,,,,,,
319,Charlotte Hornets,100,Miami Heat,105,0.0,1.0,,,,,,
320,Minnesota Timberwolves,107,Oklahoma City Thunder,111,0.0,1.0,,,,,,
321,Golden State Warriors,133,Orlando Magic,112,1.0,0.0,,,,,,
322,Indiana Pacers,115,Toronto Raptors,120,0.0,1.0,,,,,,
323,New Orleans Pelicans,108,Utah Jazz,114,0.0,1.0,,,,,,
324,Detroit Pistons,91,Washington Wizards,109,0.0,1.0,,,,,,
325,Phoenix Suns,111,Boston Celtics,116,0.0,1.0,,,,,,
326,Atlanta Hawks,114,Brooklyn Nets,102,1.0,0.0,,,,,,
327,Memphis Grizzlies,111,Cleveland Cavaliers,116,0.0,1.0,,,,,,
328,Los Angeles Clippers,82,Dallas Mavericks,108,0.0,1.0,,,,,,
329,Los Angeles Lakers,100,Denver Nuggets,115,0.0,1.0,,,,,,
330,Sacramento Kings,104,Milwaukee Bucks,109,0.0,1.0,,,,,,
331,Detroit Pistons,103,Philadelphia 76ers,108,0.0,1.0,,,,,,
332,New Orleans Pelicans,123,Portland Trail Blazers,116,1.0,0.0,,,,,,
333,Houston Rockets,118,Los Angeles Lakers,95,1.0,0.0,,,,,,
334,Golden State Warriors,123,Miami Heat,95,1.0,0.0,,,,,,
335,Los Angeles Clippers,106,Minnesota Timberwolves,112,0.0,1.0,,,,,,
336,Orlando Magic,105,New York Knicks,100,1.0,0.0,,,,,,
337,San Antonio Spurs,87,Oklahoma City Thunder,90,0.0,1.0,,,,,,
338,Brooklyn Nets,110,Atlanta Hawks,90,1.0,0.0,,,,,,
339,Milwaukee Bucks,100,Boston Celtics,111,0.0,1.0,,,,,,
340,Cleveland Cavaliers,113,Chicago Bulls,91,1.0,0.0,,,,,,
341,Orlando Magic,94,Charlotte Hornets,104,0.0,1.0,,,,,,
342,Denver Nuggets,105,Dallas Mavericks,122,0.0,1.0,,,,,,
343,New York Knicks,97,Indiana Pacers,115,0.0,1.0,,,,,,
344,Minnesota Timberwolves,92,Memphis Grizzlies,95,0.0,1.0,,,,,,
345,Golden State Warriors,125,New Orleans Pelicans,115,1.0,0.0,,,,,,
346,Phoenix Suns,115,Philadelphia 76ers,101,1.0,0.0,,,,,,
347,Detroit Pistons,93,San Antonio Spurs,96,0.0,1.0,,,,,,
348,Washington Wizards,69,Utah Jazz,116,0.0,1.0,,,,,,
349,Utah Jazz,94,Oklahoma City Thunder,100,0.0,1.0,,,,,,
350,Washington Wizards,106,Portland Trail Blazers,92,1.0,0.0,,,,,,
351,Phoenix Suns,113,Toronto Raptors,126,0.0,1.0,,,,,,
