TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,2,2,0,1,50.5,112.5,37,83,44.6,12,34,35.3,26.5,29.5,89.8,11,33,44,26,15.5,6.5,6,4,23,24,6.5
Los Angeles Clippers,4,3,1,0.75,48,108.8,36.5,79.3,46.1,9.3,26.3,35.2,26.5,35,75.7,8.5,35,43.5,20.3,11.8,9.3,5.5,4.5,20.8,25.8,8
Oklahoma City Thunder,4,3,1,0.75,48,100,34,80,42.5,9.8,26.3,37.1,22.3,31,71.8,13.3,32.5,45.8,17.5,16.8,6.3,4.3,6,19.3,24.8,-2.8
Los Angeles Lakers,3,2,1,0.667,48,108,39,82.7,47.2,10.3,24.3,42.5,19.7,28,70.2,13.3,32.7,46,21.3,14,7.7,2.7,4.3,17.7,18,5.3
Portland Trail Blazers,3,2,1,0.667,48,99.3,31.7,78,40.6,12.3,32,38.5,23.7,29.3,80.7,8.7,32,40.7,18.7,13,5,3.7,4,24.7,22.3,2.3
Atlanta Hawks,2,1,1,0.5,48,99,32.5,71.5,45.5,11.5,28.5,40.4,22.5,30,75,7,35,42,20.5,18,7.5,7.5,4,20,23,2.5
Brooklyn Nets,2,1,1,0.5,48,112.5,38.5,77.5,49.7,13,33.5,38.8,22.5,28,80.4,6.5,30,36.5,19.5,14.5,10,2.5,1.5,25.5,22.5,2
Charlotte Hornets,2,1,1,0.5,48,97,33,77.5,42.6,9,28.5,31.6,22,32,68.8,8.5,34.5,43,22,12.5,4.5,6.5,6,13.5,24.5,2
Chicago Bulls,2,1,1,0.5,48,99.5,37,84.5,43.8,7.5,22.5,33.3,18,25,72,10,36,46,20,9,7,5.5,3,16.5,20.5,-1.5
Cleveland Cavaliers,2,1,1,0.5,48,94,32.5,78,41.7,10.5,28,37.5,18.5,27,68.5,8.5,34,42.5,15.5,14.5,9,3,4.5,16,25,4.5
Dallas Mavericks,4,2,2,0.5,48,89.5,30.5,76.5,39.9,7.8,30,25.8,20.8,26.3,79,8,33.3,41.3,17,11.8,6,4.8,3,18.5,23.3,-3.5
Detroit Pistons,2,1,1,0.5,48,94.5,32.5,77,42.2,10,25.5,39.2,19.5,26.5,73.6,12.5,33.5,46,19,17.5,5,2.5,3.5,15,21,0.5
Golden State Warriors,4,2,2,0.5,49.3,109,38.3,77,49.7,12.3,30.3,40.5,20.3,28,72.3,7.3,32,39.3,24.8,17.3,9,7.5,2.3,21.3,22,-0.8
Houston Rockets,4,2,2,0.5,48,114,37.8,82.3,45.9,16,44.3,36.2,22.5,28,80.4,9,31,40,24.5,13.3,8.8,3.8,4,21.8,21.5,7
Indiana Pacers,2,1,1,0.5,48,99.5,38.5,81.5,47.2,10.5,25.5,41.2,12,13,92.3,10,36.5,46.5,21,14.5,6.5,7,4,18.5,17,-1.5
Miami Heat,2,1,1,0.5,48,98.5,36.5,83,44,11.5,31,37.1,14,21,66.7,9,32.5,41.5,17.5,9.5,5.5,7,9.5,21,17.5,3
Milwaukee Bucks,2,1,1,0.5,48,99.5,33.5,67.5,49.6,10.5,22,47.7,22,28,78.6,6.5,27,33.5,20.5,15.5,7.5,5,2,20.5,23,-5
New Orleans Pelicans,4,2,2,0.5,51.8,95.3,35.3,85.8,41.1,9.5,28.3,33.6,15.3,19.5,78.2,6.8,39.8,46.5,18,15,8.3,6,3.8,20.3,20.8,2.3
New York Knicks,2,1,1,0.5,48,99.5,39,82,47.6,6,24.5,24.5,15.5,26,59.6,10.5,30.5,41,22,12,6,4,5.5,20.5,22,-3
Orlando Magic,2,1,1,0.5,48,103,38.5,80,48.1,9.5,25,38,16.5,23.5,70.2,7.5,35,42.5,19,13.5,5,6,6.5,20,22,4.5
Sacramento Kings,4,2,2,0.5,48,94,31,73.8,42,7.5,26.5,28.3,24.5,31.8,77.2,9.3,29.5,38.8,17.3,11.8,6,5.3,4.3,20.3,23.3,-6.3
San Antonio Spurs,4,2,2,0.5,49.3,90.5,33.8,78.5,43,8,23.5,34,15,20.3,74.1,8.5,33.3,41.8,19.3,13.3,6,5.5,5,21,18.3,-2.5
Toronto Raptors,2,1,1,0.5,48,109.5,38.5,80.5,47.8,13,33,39.4,19.5,26,75,11.5,32.5,44,19.5,14.5,6.5,4,4,23.5,21,6.5
Washington Wizards,2,1,1,0.5,50.5,103.5,37,83,44.6,6.5,27,24.1,23,25.5,90.2,10,32.5,42.5,23,13,7.5,3.5,1.5,24,23,-3
Minnesota Timberwolves,4,1,3,0.25,48,96,34.8,78,44.6,8.8,21.5,40.7,17.8,24.5,72.4,11.5,32,43.5,21.8,16,6.3,4.5,6.3,24.3,22.8,0.5
Utah Jazz,4,1,3,0.25,48,88,30.5,68.3,44.7,8.8,25.8,34,18.3,24.8,73.7,6.5,29.8,36.3,17,13.5,5.8,4.8,1.5,21,25,-3.3
Denver Nuggets,3,0,3,0,48,101.3,34.7,78,44.4,10,27.7,36.1,22,28.7,76.7,9,32,41,25,17.3,7.3,3,3.7,21,24.7,-9.3
Philadelphia 76ers,2,0,2,0,53,95,33.5,87.5,38.3,13,38.5,33.8,15,24.5,61.2,8.5,42,50.5,22.5,21.5,7,8.5,7,29.5,26.5,-5
Phoenix Suns,3,0,3,0,48,99.7,34.3,81.3,42.2,5.7,21,27,25.3,32.3,78.4,13,27,40,15.3,15.3,8.7,6,4.3,23.7,23.7,-18.7
