TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Atlanta Hawks,2,2,0,1,48,98.5,33,69,47.8,10.5,21.5,48.8,22,28,78.6,5,35.5,40.5,21.5,16.5,10,2.5,4,17,22.5,10
Boston Celtics,2,2,0,1,48,100.5,36.5,78.5,46.5,11.5,27.5,41.8,16,20.5,78,10,37,47,23,15.5,5.5,3,2.5,21,17.5,10
Charlotte Hornets,2,2,0,1,48,103,37.5,76.5,49,4,18,22.2,24,29.5,81.4,6.5,39.5,46,22.5,11,3.5,5.5,2,18.5,22,9
Detroit Pistons,2,2,0,1,48,96.5,36,76.5,47.1,5.5,18,30.6,19,22,86.4,9.5,43,52.5,16.5,17,3,3,2.5,17.5,21.5,8.5
Golden State Warriors,3,3,0,1,48,112,42.7,78.7,54.2,13.7,32,42.7,13,17.7,73.6,4.3,38.3,42.7,32.7,14.7,6,3.7,3.7,18,15.3,18.3
Houston Rockets,4,4,0,1,48,107.8,36.3,75.8,47.9,15.5,33,47,19.8,25.5,77.5,8.5,37.3,45.8,22.8,17,5.5,2.8,3.3,20.3,18.5,11.8
Toronto Raptors,2,2,0,1,48,97,38,79.5,47.8,9,23,39.1,12,13.5,88.9,10.5,39,49.5,20.5,14.5,8,4.5,5,18.5,17.5,15
Denver Nuggets,4,3,1,0.75,48,107,40.8,82.8,49.2,12.3,30,40.8,13.3,16.5,80.3,11.8,34.8,46.5,27.5,15,6.8,3.5,4.5,15.3,15.3,7.8
Phoenix Suns,4,3,1,0.75,48,108.5,39.5,81.5,48.5,7.8,18.8,41.3,21.8,25.3,86.1,11,34.8,45.8,18.5,14.8,4.3,4.5,5,21.5,20,4.3
San Antonio Spurs,4,3,1,0.75,48,98.3,36.8,81.3,45.2,9,22.3,40.4,15.8,23.5,67,9,37,46,23,11,6,4,4.8,15,19.3,5.3
Utah Jazz,4,3,1,0.75,50.5,104.3,37.3,77.5,48.1,10.3,24.8,41.4,19.5,27.3,71.6,10.3,34.3,44.5,19.8,16.3,6.5,3.5,2.3,24,22.3,4.3
Minnesota Timberwolves,3,2,1,0.667,48,95,38.7,76.3,50.7,5.3,16.7,32,12.3,17.7,69.8,9.3,34,43.3,24.7,15.7,9,3,5,17.3,19.3,3.7
Oklahoma City Thunder,3,2,1,0.667,48,96.7,35.7,79.7,44.8,5.7,22.3,25.4,19.7,26.7,73.8,10.3,36.3,46.7,16.3,16.7,7,3.7,2.7,19.7,20.7,-1
Sacramento Kings,3,2,1,0.667,48,99,37.7,80.3,46.9,10,25,40,13.7,18.3,74.5,7.7,36.7,44.3,20.3,16.3,9.3,3,6.7,18,16,7.3
Cleveland Cavaliers,2,1,1,0.5,48,112.5,39,80,48.8,16,37.5,42.7,18.5,22.5,82.2,7.5,37,44.5,23.5,15.5,7.5,3,3,16.5,19,15.5
Indiana Pacers,2,1,1,0.5,50.5,116.5,39.5,81,48.8,12,22,54.5,25.5,30,85,6,39,45,25.5,14.5,8,5,4.5,20.5,23,0.5
Los Angeles Clippers,4,2,2,0.5,48,104.8,37.8,78.5,48.1,12.3,29.8,41.2,17,23.5,72.3,6.5,35.8,42.3,20.8,15.5,9.3,2.5,3.5,17,20.5,6.8
Memphis Grizzlies,4,2,2,0.5,48,93,34.3,79.5,43.1,9.3,26.3,35.2,15.3,19,80.3,9.5,36,45.5,18.3,13,4.8,3,4.8,23.3,18.5,3.5
Miami Heat,2,1,1,0.5,48,94,36,78,46.2,9,23,39.1,13,21,61.9,9.5,33,42.5,18.5,13.5,7.5,2.5,2.5,16.5,16.5,-1.5
New Orleans Pelicans,4,2,2,0.5,48,99,35,77.3,45.3,8.5,24.8,34.3,20.5,26.5,77.4,8.8,34.3,43,22,12.5,6.5,3.3,3,18.8,21.5,-3.3
New York Knicks,2,1,1,0.5,48,94,36.5,85,42.9,8,24,33.3,13,15,86.7,16,37,53,17.5,17.5,4.5,3.5,7,18.5,14,4
Orlando Magic,2,1,1,0.5,48,87.5,33,80,41.3,5.5,22,25,16,20,80,10.5,34.5,45,16.5,17.5,7,6.5,4,18.5,16.5,-12
Philadelphia 76ers,2,1,1,0.5,48,105.5,38.5,78.5,49,9,25.5,35.3,19.5,24.5,79.6,7,40,47,26.5,14.5,6.5,4,4,21,19.5,12
Portland Trail Blazers,4,2,2,0.5,48,104.5,37.5,81.5,46,10.5,29,36.2,19,24.5,77.6,11.5,34.5,46,17.3,13.8,6,3.3,4.5,21.3,21.8,1.5
Brooklyn Nets,2,0,2,0,48,100,32.5,75,43.3,11,31,35.5,24,30.5,78.7,6.5,31.5,38,19.5,13.5,5.5,1.5,1.5,25,21,-8
Chicago Bulls,2,0,2,0,48,90,34.5,76.5,45.1,4.5,13.5,33.3,16.5,21.5,76.7,11,32,43,16,16.5,5,4,2,22,20,-13
Los Angeles Lakers,4,0,4,0,48,92.5,35,77.3,45.3,7.8,24,32.3,14.8,19.5,75.6,7.8,29,36.8,17.8,15.3,6.5,2.3,3.8,19.3,15.3,-21
Milwaukee Bucks,2,0,2,0,50.5,90,34.5,79.5,43.4,9,31.5,28.6,12,15,80,6.5,35.5,42,19.5,21,10,2.5,1.5,23,19,-7.5
Washington Wizards,2,0,2,0,48,106,40.5,87,46.6,11.5,30,38.3,13.5,17.5,77.1,5,35,40,28.5,11,5,4,2,21,21.5,-6.5
