TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Detroit Pistons,2,2,0,1,55.5,122.5,49.5,104.5,47.4,7.5,25,30,16,21.5,74.4,11,33.5,44.5,21,9,13.5,2.5,5,17.5,18,4
Golden State Warriors,4,4,0,1,48,125,45.3,85.5,52.9,11.3,29,38.8,23.3,29.3,79.5,8,36.8,44.8,32.8,16,12,6,3.8,18.3,21.5,19.5
Los Angeles Clippers,3,3,0,1,48,115.3,39,89,43.8,10,28,35.7,27.3,35.7,76.6,14,33,47,20.7,9.3,9.3,6.3,4.7,20,27,13.3
Milwaukee Bucks,2,2,0,1,48,104,39,83.5,46.7,8.5,20,42.5,17.5,24.5,71.4,9,36,45,17.5,11.5,8,7.5,5,17.5,18,5.5
Toronto Raptors,2,2,0,1,48,103.5,37,86.5,42.8,9.5,27,35.2,20,25.5,78.4,9.5,36,45.5,16.5,11,9,4.5,4.5,18,24,5
Washington Wizards,2,2,0,1,50.5,122.5,44.5,88,50.6,12.5,24,52.1,21,26.5,79.2,10.5,38,48.5,26.5,12.5,7.5,4.5,5,19,19.5,10
New Orleans Pelicans,4,3,1,0.75,48,105,39.8,82,48.5,9,23,39.1,16.5,25,66,4.5,36,40.5,22.5,9.8,8.8,7.8,2.3,17.5,19.8,5.8
Houston Rockets,3,2,1,0.667,48,121,44,89.3,49.3,13,34,38.2,20,25.3,78.9,12.3,31.7,44,23.3,14,7.3,5.7,4.7,20,19.7,7.7
Atlanta Hawks,2,1,1,0.5,50.5,103,32,85.5,37.4,7.5,27,27.8,31.5,40,78.8,9.5,34,43.5,21,11,11,9,6.5,17.5,28,-5.5
Boston Celtics,2,1,1,0.5,50.5,121.5,43,91.5,47,11.5,32.5,35.4,24,29,82.8,14,31,45,24.5,14.5,7,1.5,5,25,24.5,2.5
Charlotte Hornets,2,1,1,0.5,48,102.5,37,85,43.5,11,28.5,38.6,17.5,21,83.3,5.5,41,46.5,24,11,7,6.5,7,13,14.5,2.5
Chicago Bulls,2,1,1,0.5,48,111.5,38,90.5,42,7,21.5,32.6,28.5,33,86.4,17,41.5,58.5,16,12.5,7.5,7.5,6,18,22.5,11.5
Cleveland Cavaliers,2,1,1,0.5,48,111.5,38,86,44.2,15,33,45.5,20.5,27.5,74.5,11,33.5,44.5,22,13.5,5.5,3.5,7.5,17.5,20,-2
Dallas Mavericks,4,2,2,0.5,48,103,35.5,79.3,44.8,11.5,29.5,39,20.5,24.5,83.7,5.3,31.8,37,15.8,9.5,6.5,4.5,3.3,21.8,21.3,-1.5
Indiana Pacers,2,1,1,0.5,48,113.5,38,77.5,49,10.5,21.5,48.8,27,31.5,85.7,7,28.5,35.5,21.5,15,7,6.5,3,13.5,21.5,-7.5
New York Knicks,2,1,1,0.5,48,101,40.5,92,44,7,25.5,27.5,13,14,92.9,9.5,32,41.5,24.5,12,6.5,7,3.5,21.5,16.5,-5.5
Orlando Magic,2,1,1,0.5,48,109,37.5,84.5,44.4,8.5,20,42.5,25.5,32.5,78.5,11,31.5,42.5,19.5,14.5,6.5,4.5,8,20,22.5,-1.5
Philadelphia 76ers,2,1,1,0.5,50.5,100.5,38.5,93,41.4,11.5,29,39.7,12,18,66.7,12.5,36,48.5,21.5,18,8,5.5,9,25,21,-2.5
San Antonio Spurs,4,2,2,0.5,48,106,39.5,81.8,48.3,10.5,22.3,47.2,16.5,20.3,81.5,11.8,33.5,45.3,21.5,14.5,6.8,5.5,2.3,17.5,18.8,7.8
Utah Jazz,4,2,2,0.5,48,101.8,38,78.8,48.3,9.5,22,43.2,16.3,20.5,79.3,7.8,35,42.8,19.5,14,6,6.3,4.3,17.5,18.8,4.5
Memphis Grizzlies,3,1,2,0.333,48,97,33,81.7,40.4,7,24,29.2,24,31.7,75.8,12.3,35.7,48,17.3,12.3,7.7,4,3.7,22.3,24.7,-2.3
Sacramento Kings,3,1,2,0.333,49.7,111.7,38,79.7,47.7,8.3,24,34.7,27.3,33.7,81.2,7.7,31.7,39.3,19.3,12,6,3.3,4,23,23.7,-3.3
Denver Nuggets,4,1,3,0.25,49.3,115.8,40.3,92.3,43.6,10.3,28.3,36.3,25,30.8,81.3,12.3,38.5,50.8,20,15.8,6.8,5.3,6.3,24.5,24,-1.5
Minnesota Timberwolves,4,1,3,0.25,48,99.3,37.8,83.5,45.2,4.3,15,28.3,19.5,24.5,79.6,10,31.3,41.3,19.5,12.3,7.8,4.3,6,19.3,19.3,-6
Oklahoma City Thunder,4,1,3,0.25,48,107.5,37.8,89,42.4,8.3,24.8,33.3,23.8,29.5,80.5,14.3,30.3,44.5,15.8,15.5,8,3.8,6.3,22,22.5,-5.8
Phoenix Suns,4,1,3,0.25,49.3,114.3,43,91.5,47,5,15.3,32.8,23.3,28.8,80.9,12,34,46,17.5,13.8,8.3,4,5,23.5,24.3,-5.5
Brooklyn Nets,2,0,2,0,48,112.5,41,89.5,45.8,12,32.5,36.9,18.5,24,77.1,9.5,24,33.5,23,12,6,4.5,6.5,21,21.5,-17
Los Angeles Lakers,4,0,4,0,48,93.8,34.5,86.8,39.8,8.8,26.5,33,16,22.5,71.1,8.5,34.3,42.8,17,11.5,6.3,5,5.5,19.3,17.5,-13.3
Miami Heat,2,0,2,0,48,98,39.5,87,45.4,7.5,26,28.8,11.5,17.5,65.7,10.5,32,42.5,20.5,11.5,7,7,7.5,18,18.5,-9
