TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,3,3,0,1,48,107.7,38.7,85.3,45.3,9.7,30.3,31.9,20.7,24.7,83.8,11.3,33.3,44.7,22.7,13.7,7.3,3.7,6,21.7,20.7,7.3
Denver Nuggets,2,2,0,1,48,132.5,45.5,86,52.9,11,29.5,37.3,30.5,33,92.4,11.5,34.5,46,30,14,9,4.5,6,15.5,22,18
Golden State Warriors,2,2,0,1,48,131,47,97,48.5,13.5,36.5,37,23.5,29,81,14,43,57,38,11.5,10.5,11.5,4.5,19.5,22,36.5
San Antonio Spurs,2,2,0,1,48,105,37.5,80.5,46.6,8,22,36.4,22,25.5,86.3,9,33.5,42.5,19,14.5,7.5,5.5,2,21.5,24.5,2.5
Cleveland Cavaliers,4,3,1,0.75,50.5,118.3,41.8,86.8,48.1,15.8,37,42.6,19,24.5,77.6,10,36.5,46.5,23.8,13,5.8,4,4.5,17.5,18.8,4.8
Milwaukee Bucks,4,3,1,0.75,48,107.3,37,72.5,51,11.8,24.8,47.5,21.5,26.3,81.9,7.8,28.3,36,24.5,17.8,9.5,5.5,4,21,21,8.3
New York Knicks,4,3,1,0.75,48,105.8,38.5,83.5,46.1,10.5,26,40.4,18.3,23.3,78.5,6.8,36.3,43,22.3,15.5,7.8,6.5,3,19.5,17.8,1.3
Washington Wizards,4,3,1,0.75,48,109.8,40,84.3,47.5,10.3,28.3,36.3,19.5,27,72.2,12.8,34.3,47,23,13.8,6.5,3.5,3.8,20.3,20.8,5.5
Miami Heat,3,2,1,0.667,48,102,38,84.7,44.9,9.7,29.3,33,16.3,24,68.1,14.7,37,51.7,21.3,14.7,5.7,5,4.3,19,20,6.7
Toronto Raptors,3,2,1,0.667,48,105.7,38.7,83,46.6,10.3,25.7,40.3,18,23.3,77.1,12,36,48,19.7,15,7,5.7,3.3,20.7,20.3,6
Charlotte Hornets,4,2,2,0.5,48,98.3,34,83.5,40.7,9,28,32.1,21.3,24.5,86.7,7,35.3,42.3,20.5,11.8,9.8,3.5,6.5,12.8,19.5,-0.8
Chicago Bulls,4,2,2,0.5,48,100.8,36.5,83,44,6.8,21.8,31,21,26.3,80,14.3,31.3,45.5,21.3,14.3,8.5,4.8,6.8,16.3,19.8,-1.3
Dallas Mavericks,2,1,1,0.5,50.5,116,42,92,45.7,16.5,40,41.3,15.5,21,73.8,7.5,33.5,41,24.5,12,8,4.5,5,23,20.5,-0.5
Los Angeles Lakers,2,1,1,0.5,48,108,40.5,88,46,10,30.5,32.8,17,20,85,13.5,34,47.5,20.5,22,11.5,2.5,7,22.5,16,3
Memphis Grizzlies,2,1,1,0.5,48,101,38,86,44.2,10.5,29.5,35.6,14.5,20.5,70.7,10.5,30.5,41,21,9.5,9.5,4,7,17,18.5,1.5
Minnesota Timberwolves,2,1,1,0.5,48,109,36.5,79.5,45.9,9.5,23.5,40.4,26.5,32,82.8,8.5,26,34.5,24.5,13.5,11.5,7,4.5,21,22,-2.5
New Orleans Pelicans,2,1,1,0.5,48,98.5,36,84,42.9,10,26,38.5,16.5,23,71.7,9.5,37,46.5,20.5,15,7,7,5,16.5,19.5,2
Phoenix Suns,2,1,1,0.5,48,105,40,91,44,9,29.5,30.5,16,18,88.9,13.5,29.5,43,19,16.5,14,5.5,5.5,29.5,17.5,2.5
Portland Trail Blazers,2,1,1,0.5,48,121,45.5,88,51.7,14,34.5,40.6,16,17.5,91.4,11.5,29,40.5,25.5,13,9.5,3,6.5,21.5,13.5,7.5
Utah Jazz,2,1,1,0.5,48,104.5,39.5,86,45.9,6,24.5,24.5,19.5,26,75,11.5,34,45.5,22,12.5,8,7,6,16,21,1
Atlanta Hawks,3,1,2,0.333,48,92.7,33.3,78,42.7,8.3,25.3,32.9,17.7,24,73.6,12,33.7,45.7,19,19,9.3,4,5.3,17.3,18.7,-2.7
Brooklyn Nets,4,1,3,0.25,48,101.5,36.8,85.5,43,12.3,33.3,36.8,15.8,19.8,79.7,9.5,35.3,44.8,21.5,17,6.5,5,7.5,19.8,18,-8.3
Philadelphia 76ers,4,1,3,0.25,50.5,107.3,38,86,44.2,13,35.5,36.6,18.3,23.8,76.8,10.3,34.3,44.5,21.5,17.8,8.8,4.5,4.5,21,20.3,-6.3
Detroit Pistons,4,0,4,0,48,97,37.5,86.3,43.5,8.3,25.5,32.4,13.8,19,72.4,11.3,31.3,42.5,22.8,12.5,4.3,4,4,17,14.8,-14.5
Houston Rockets,2,0,2,0,48,104.5,33,85.5,38.6,10.5,42,25,28,33.5,83.6,11.5,28.5,40,21.5,13,7.5,5.5,6,23,23.5,-14
Los Angeles Clippers,2,0,2,0,48,86,29,75.5,38.4,7,27,25.9,21,27.5,76.4,11,34.5,45.5,15,20,7,5.5,3,18.5,22.5,-15
Oklahoma City Thunder,2,0,2,0,50.5,100.5,39,94.5,41.3,8.5,32,26.6,14,19.5,71.8,17.5,37.5,55,22.5,18,8,9,6,22,18.5,-3.5
Orlando Magic,4,0,4,0,48,93.3,35.3,85.5,41.2,8.8,29.3,29.9,14,18.5,75.7,7.5,33,40.5,20.8,13.8,7.8,4.3,4.8,19.3,17,-14.3
Sacramento Kings,2,0,2,0,50.5,105.5,35,71,49.3,11,23,47.8,24.5,31.5,77.8,10,29.5,39.5,25,20,8,3,3.5,26,22.5,-5
