TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,3,3,0,1,48,120.7,43.7,85.7,51,11.7,31,37.6,21.7,26,83.3,7.7,39.3,47,31.7,10.3,7,4.7,2.3,18,20.7,20.3
Charlotte Hornets,4,4,0,1,48,114.8,44,84.5,52.1,9.5,23.5,40.4,17.3,20,86.3,10.3,37.5,47.8,26.5,11,6.5,4,3.5,13.8,18.8,21.8
Cleveland Cavaliers,3,3,0,1,48,114.3,41,85.3,48,14.7,37.3,39.3,17.7,25.3,69.7,9,35.7,44.7,25.7,10,6,5,3,21,21.7,12.7
Denver Nuggets,2,2,0,1,48,123,49.5,86,57.6,8.5,23,37,15.5,20,77.5,9,32.5,41.5,29,13.5,6.5,3.5,3,18.5,14,10.5
Golden State Warriors,2,2,0,1,48,120,46,88,52.3,14.5,34,42.6,13.5,21,64.3,10,39.5,49.5,31.5,16,11,6.5,5.5,16.5,21,25
Houston Rockets,2,2,0,1,48,114,41.5,87.5,47.4,15.5,43.5,35.6,15.5,24,64.6,11,32.5,43.5,28.5,13.5,10.5,1.5,3,15,18.5,15.5
Indiana Pacers,4,4,0,1,48,107.5,40.5,82.8,48.9,9.3,22.3,41.6,17.3,19.8,87.3,6.5,38,44.5,27.5,13.3,6.3,4.8,4.3,17,19.3,14.3
Los Angeles Clippers,2,2,0,1,48,109,38,75,50.7,11,25.5,43.1,22,31.5,69.8,8,37.5,45.5,22,16,8.5,5,2,20,25,7
Minnesota Timberwolves,2,2,0,1,50.5,117,42.5,89,47.8,12.5,26,48.1,19.5,26,75,9.5,38,47.5,28,9.5,5.5,8,4,21.5,22,11
Utah Jazz,2,2,0,1,48,100.5,37,82,45.1,7,27,25.9,19.5,26,75,10.5,37.5,48,23.5,14,7.5,4.5,4,19,23,10
Chicago Bulls,4,3,1,0.75,48,106.3,40.3,84,47.9,8.5,23.8,35.8,17.3,22,78.4,10.3,39.3,49.5,23.8,13.3,8.8,4.5,4.3,15.5,19,20
New York Knicks,4,3,1,0.75,48,105.8,38.5,86.5,44.5,7.8,21,36.9,21,25,84,14.8,33.5,48.3,22.8,13.8,7.8,4.5,4.8,18.5,20.5,4.5
Milwaukee Bucks,3,2,1,0.667,48,97.7,36.7,85,43.1,8.7,26,33.3,15.7,22.3,70.1,9,34.3,43.3,23.3,12.3,9.3,6,5.3,21,19.7,-1.3
Atlanta Hawks,4,2,2,0.5,48,107.5,40.5,83.3,48.6,9.8,25,39,16.8,23,72.8,9.5,35.5,45,26.3,16,7.5,3.3,5.8,16.8,19,4
Dallas Mavericks,2,1,1,0.5,48,99.5,35.5,84,42.3,15,31.5,47.6,13.5,16.5,81.8,8.5,34,42.5,22.5,14,9,4,6.5,16.5,18.5,12
Los Angeles Lakers,2,1,1,0.5,48,100.5,36.5,87,42,8,27.5,29.1,19.5,24,81.3,9,37.5,46.5,19.5,15.5,8,5.5,7,17.5,20,-1.5
Memphis Grizzlies,2,1,1,0.5,48,98.5,34,77.5,43.9,8.5,21.5,39.5,22,28,78.6,5.5,31.5,37,17.5,8,8,6.5,6,22,20,-4.5
New Orleans Pelicans,2,1,1,0.5,48,100,38,87.5,43.4,11,28.5,38.6,13,17,76.5,7.5,39,46.5,23.5,13.5,8,7,6,14.5,14.5,6.5
Oklahoma City Thunder,2,1,1,0.5,50.5,115.5,45,97,46.4,8.5,29,29.3,17,27,63,11.5,38,49.5,20,11.5,7.5,6.5,7.5,19.5,21,3
Phoenix Suns,2,1,1,0.5,48,97.5,35.5,80,44.4,5.5,18,30.6,21,26,80.8,9,37.5,46.5,16.5,16.5,7.5,7.5,6,21,23,-0.5
Portland Trail Blazers,2,1,1,0.5,48,110.5,40,89,44.9,9.5,26,36.5,21,26,80.8,10.5,33.5,44,19.5,15,7,8,4.5,22.5,20,1.5
Sacramento Kings,2,1,1,0.5,48,107,41,81,50.6,11.5,24,47.9,13.5,19,71.1,6.5,33.5,40,20.5,14.5,8,3.5,4,18.5,16,-1.5
San Antonio Spurs,2,1,1,0.5,48,95,35,82.5,42.4,6.5,25.5,25.5,18.5,22.5,82.2,10.5,37,47.5,22,16,10.5,6,4.5,16.5,20,8
Toronto Raptors,4,2,2,0.5,48,111.8,40.5,84,48.2,9.8,24.5,39.8,21,28.3,74.3,10.3,33.3,43.5,19.5,13,7.5,5.8,4.8,20.5,21,10
Washington Wizards,4,2,2,0.5,48,102.8,39.3,87,45.1,9.3,23.8,38.9,15,19,78.9,10.3,31.3,41.5,20.8,11.8,7,4.3,7,20.3,17,-1.5
Brooklyn Nets,3,1,2,0.333,48,113,43,88,48.9,10,29.3,34.1,17,21.3,79.7,7.3,35.3,42.7,22.7,14,6.7,5.7,6.3,22,17.3,-1.7
Detroit Pistons,4,1,3,0.25,48,99,40.3,95.8,42,7.5,26,28.8,11,16.8,65.7,12,38,50,21,10.5,6.3,3.3,5.5,13.8,15.8,-3
Miami Heat,4,1,3,0.25,50.5,111,42.8,94.8,45.1,7.5,24,31.3,18,23.5,76.6,11,34.8,45.8,20.8,12,5.8,6.3,4.5,23.3,18.8,-3.5
Philadelphia 76ers,4,1,3,0.25,49.3,102.5,38.8,93.3,41.6,9.5,28.5,33.3,15.5,19.3,80.5,12,34.5,46.5,25.8,14.3,9,6.5,5.3,22.8,19.3,-5.3
