TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,4,4,0,1,48,111.3,42,90.8,46.3,11.8,34.3,34.3,15.5,19,81.6,10.3,39.8,50,28.3,15,10,6.3,5.8,22,18.8,9
Cleveland Cavaliers,3,3,0,1,48,119.7,44,93,47.3,10,34.7,28.8,21.7,29,74.7,8.3,39.7,48,24.3,12.3,10,4,3.3,16.7,23.7,12
Dallas Mavericks,2,2,0,1,48,108,37,77,48.1,12,29,41.4,22,26.5,83,4.5,35.5,40,18,13,6.5,1.5,1.5,21,25,8
Golden State Warriors,2,2,0,1,48,114.5,44.5,102,43.6,11.5,34,33.8,14,18,77.8,12,39.5,51.5,29.5,12,14.5,9,4.5,18,17.5,16.5
Houston Rockets,2,2,0,1,48,129.5,44,91.5,48.1,19,43.5,43.7,22.5,34,66.2,12,33.5,45.5,26.5,14,9.5,4,4.5,23,26,14.5
Miami Heat,3,3,0,1,48,107,40,85.7,46.7,9.7,24,40.3,17.3,23,75.4,8,32,40,20.3,12.7,9,7,4.7,21.3,22,6.7
Milwaukee Bucks,4,4,0,1,48,115.5,41.8,85.3,49,9,23.8,37.9,23,30.3,76,9,35.3,44.3,25,13.8,11.8,7,7,21,22.8,8.3
Oklahoma City Thunder,2,2,0,1,48,123,46.5,89,52.2,8.5,24,35.4,21.5,29,74.1,11.5,33.5,45,26.5,14.5,11,5.5,4,25.5,21,18.5
Portland Trail Blazers,2,2,0,1,48,129.5,49,85.5,57.3,15.5,30.5,50.8,16,21.5,74.4,7,36.5,43.5,26,14,6.5,6.5,4.5,21.5,21,17
San Antonio Spurs,2,2,0,1,48,121,47.5,94.5,50.3,11.5,24,47.9,14.5,17,85.3,10.5,39,49.5,30,9.5,9,6,3.5,17.5,17,27.5
Toronto Raptors,4,4,0,1,48,117.5,45.5,91.8,49.6,8.5,21,40.5,18,22,81.8,10.8,35.8,46.5,19.8,10.8,9,7,4.8,18.8,19.3,12.3
Utah Jazz,2,2,0,1,48,106.5,38.5,83.5,46.1,9.5,25,38,20,27,74.1,8.5,37,45.5,18,11.5,8,5,4,22,22,13.5
Washington Wizards,4,4,0,1,49.3,119.8,45.3,92.3,49.1,11,26.8,41.1,18.3,21.8,83.9,11,33.8,44.8,26,13.3,11.8,5.5,3,22,19.3,13.3
Charlotte Hornets,4,3,1,0.75,48,110,39.8,91,43.7,9.8,28,34.8,20.8,25,83,9.3,38.3,47.5,23,11.8,7.8,4.3,5.8,19.3,20.8,3.3
Chicago Bulls,4,3,1,0.75,48,109.3,40.3,90.5,44.5,9.8,23.5,41.5,19,21.3,89.4,13.8,42.8,56.5,22,17,9.5,6.8,4.5,19.3,16.5,17.5
Indiana Pacers,4,3,1,0.75,48,109.8,42.5,91,46.7,9,23,39.1,15.8,21.5,73.3,10.5,36.8,47.3,22.5,12.8,9,7.5,5,18,19.8,8.3
Philadelphia 76ers,4,3,1,0.75,48,109.3,39.3,92.5,42.4,10.5,31.5,33.3,20.3,24.5,82.7,11.3,34.3,45.5,23.8,14.3,7.5,5.8,5.8,20,20,-1.8
Orlando Magic,3,2,1,0.667,48,114.7,42,92.7,45.3,8.7,26.3,32.9,22,27.7,79.5,11,35.3,46.3,24,11.7,8.7,6.3,5.7,17.3,22,1.7
Atlanta Hawks,4,2,2,0.5,48,100.3,37.3,91.3,40.8,5.8,23.5,24.5,20,31.3,64,15,35.5,50.5,19.8,17.3,10.5,6.5,7,19.3,24,0.3
Denver Nuggets,2,1,1,0.5,48,120,45.5,101,45,12.5,34,36.8,16.5,22.5,73.3,18.5,36,54.5,25,15.5,9,2,4.5,24,21,7.5
Los Angeles Clippers,2,1,1,0.5,53,124.5,47,99.5,47.2,13.5,32.5,41.5,17,21.5,79.1,10,39.5,49.5,26.5,13,13.5,4.5,2.5,25.5,22,13.5
Los Angeles Lakers,2,1,1,0.5,48,111,38,91.5,41.5,7.5,27.5,27.3,27.5,38.5,71.4,16,36,52,17.5,11,8.5,4,5,21.5,26.5,-1.5
Memphis Grizzlies,2,1,1,0.5,48,110.5,36.5,77,47.4,9.5,23.5,40.4,28,33,84.8,6.5,32.5,39,24,14,7,1.5,2.5,22.5,25.5,-2
Minnesota Timberwolves,2,1,1,0.5,48,119.5,43,92.5,46.5,10.5,24,43.8,23,30,76.7,14,31,45,23.5,14,9.5,5.5,5.5,21,18.5,5.5
New Orleans Pelicans,2,1,1,0.5,48,109,40.5,97.5,41.5,11,33,33.3,17,24,70.8,13.5,35,48.5,18.5,13,10,6,6,20,20,-10
New York Knicks,4,2,2,0.5,48,106.8,39.8,93.3,42.6,6.8,24.5,27.6,20.5,26.5,77.4,11.5,34.8,46.3,22.5,10.8,9.5,6,4,21.3,22.5,0
Sacramento Kings,2,1,1,0.5,48,111,40.5,83.5,48.5,12,22.5,53.3,18,22,81.8,9.5,32,41.5,18,15,9.5,3,1.5,20,23,4
Detroit Pistons,3,1,2,0.333,48,95.7,37.7,88.7,42.5,7,22,31.8,13.3,18,74.1,10.3,37,47.3,19.3,12,8.3,7,4.3,15.3,17.3,-3
Phoenix Suns,2,0,2,0,48,101,37,100,37,7.5,29,25.9,19.5,27.5,70.9,16,36.5,52.5,19.5,16,11.5,3,7.5,25,22.5,-23
