TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,2,2,0,1,48,112,39,86,45.3,16,39.5,40.5,18,23,78.3,10,32,42,29,15.5,8,7,5,21,22.5,6.5
Los Angeles Clippers,2,2,0,1,48,107,39.5,81.5,48.5,14,30.5,45.9,14,17,82.4,7.5,35.5,43,23.5,13.5,11,5.5,1.5,18,15,12.5
Los Angeles Lakers,2,2,0,1,48,116,45,92.5,48.6,8.5,21,40.5,17.5,20,87.5,13,34.5,47.5,22,12,9,5.5,3.5,20,19,11
Minnesota Timberwolves,2,2,0,1,48,98,36,82.5,43.6,12,30,40,14,16,87.5,13,33,46,23.5,16,8.5,4.5,7.5,15,17,11
Utah Jazz,2,2,0,1,48,107.5,42,80,52.5,10,30,33.3,13.5,18,75,9,40.5,49.5,24,14,9,8,3.5,19.5,17,26
Charlotte Hornets,4,3,1,0.75,48,97,37.3,86.5,43.1,9.3,27.3,33.9,13.3,19,69.7,8.8,31.3,40,23.8,11.5,10.5,3,4.3,15.8,17.5,0
Washington Wizards,4,3,1,0.75,48,102.5,38,89.5,42.5,8.8,26.3,33.3,17.8,23.8,74.7,13.3,34.8,48,21.8,19.3,10.5,5.8,5.8,23.3,19.5,4.5
Detroit Pistons,3,2,1,0.667,48,112.3,42.7,88,48.5,12,28.3,42.4,15,20.3,73.8,14.3,38,52.3,25.7,15.3,6.3,3.3,2.7,22.7,18,17.3
Indiana Pacers,3,2,1,0.667,48,95.3,36,81.3,44.3,10.7,28,38.1,12.7,18,70.4,8,32.7,40.7,20.3,15,8.7,5.3,4,18.7,17.3,2.7
Brooklyn Nets,4,2,2,0.5,48,100,35.5,83.8,42.4,9.3,29.3,31.6,19.8,24.5,80.6,9.8,37.5,47.3,23,20,9,7,6.5,24,19.3,-0.3
Memphis Grizzlies,2,1,1,0.5,48,96.5,36.5,91,40.1,7.5,28.5,26.3,16,20.5,78,14.5,30,44.5,25.5,12.5,9,4,7.5,23,20,-2.5
Miami Heat,4,2,2,0.5,48,102.3,38.8,90.3,42.9,11.8,29.8,39.5,13,16.5,78.8,12.5,33,45.5,21.5,16.5,8.5,7.3,6.3,21,14.8,7.5
New Orleans Pelicans,2,1,1,0.5,48,103,39.5,89.5,44.1,13,30,43.3,11,13,84.6,10,36,46,24,13,9.5,6.5,6,17,14.5,6.5
Oklahoma City Thunder,2,1,1,0.5,48,105,38,83.5,45.5,10,33,30.3,19,27,70.4,11.5,32,43.5,19.5,15.5,8.5,4,2.5,22.5,22,0.5
Orlando Magic,4,2,2,0.5,48,103.5,38,83,45.8,9.8,29,33.6,17.8,20.5,86.6,7.3,29.8,37,23.3,13.5,9,5.8,3.3,19,16.8,-4
Phoenix Suns,2,1,1,0.5,48,100,37.5,92.5,40.5,8.5,26,32.7,16.5,24.5,67.3,13.5,31,44.5,20,16,11.5,5,6,24,22.5,-1
Portland Trail Blazers,2,1,1,0.5,50.5,108.5,40.5,95,42.6,12,30,40,15.5,22,70.5,17.5,42.5,60,22.5,19.5,6.5,6.5,9,28,17.5,5.5
Sacramento Kings,2,1,1,0.5,48,101.5,37,77.5,47.7,14,29.5,47.5,13.5,20,67.5,7,31.5,38.5,26.5,18.5,11,4,5.5,30.5,18.5,-5
San Antonio Spurs,2,1,1,0.5,50.5,109.5,40.5,85.5,47.4,12.5,30.5,41,16,19.5,82.1,8,37.5,45.5,29,17.5,5.5,7.5,4.5,21.5,20.5,3
Boston Celtics,3,1,2,0.333,48,105.7,35.7,86.7,41.2,14,40.3,34.7,20.3,26,78.2,9.3,31,40.3,23.7,14,8.3,4.7,6.3,21.7,22,-7
Toronto Raptors,3,1,2,0.333,48,116,45.7,90,50.7,9,23.3,38.6,15.7,21.3,73.4,12,28.7,40.7,22.3,12.3,12.7,5.7,5.7,24,18.3,11.3
Chicago Bulls,4,1,3,0.25,48,105,39.5,87.8,45,9,28,32.1,17,20,85,9.5,28.8,38.3,21.3,14.5,9.5,4.3,4,17.8,18.8,-5
Cleveland Cavaliers,4,1,3,0.25,49.3,116.5,42,91,46.2,16,42.5,37.6,16.5,20.5,80.5,8.5,32.3,40.8,25.8,12.8,7,3,3.8,20.3,18.8,-3.5
Milwaukee Bucks,4,1,3,0.25,48,102,40.3,89.8,44.8,8.5,26.5,32.1,13,16.5,78.8,11.5,28.8,40.3,25.8,14,10.3,4.3,5.8,24.5,16.8,-5.3
New York Knicks,4,1,3,0.25,54.3,112,42.5,98.5,43.1,10.8,32.8,32.8,16.3,21.5,75.6,13.8,41.5,55.3,23.5,16.3,8.3,5.5,3.5,26.8,18.3,0.5
Dallas Mavericks,2,0,2,0,48,88.5,33.5,79.5,42.1,11.5,34.5,33.3,10,11.5,87,8,29,37,20,18,8.5,4,2.5,22.5,17,-10
Denver Nuggets,2,0,2,0,48,107,38.5,89,43.3,10.5,34.5,30.4,19.5,28,69.6,14,33.5,47.5,26,12.5,5.5,5.5,4,24.5,21.5,-6
Houston Rockets,2,0,2,0,48,102.5,36,89,40.4,12.5,43.5,28.7,18,23,78.3,9.5,30.5,40,20.5,17.5,10,5.5,5.5,23,16.5,-10
Philadelphia 76ers,4,0,4,0,48,88.3,33.3,82,40.5,9.8,28.8,33.9,12,16,75,8.5,30.8,39.3,23.5,19,9.5,4.5,5.3,19.5,15.3,-19.3
