TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Los Angeles Clippers,4,3,1,0.75,48,104.3,40.8,84.3,48.4,8.3,24,34.4,14.5,18.5,78.4,7.3,33.3,40.5,20.3,10.3,8.3,5.3,5.5,20.5,19.8,8
Atlanta Hawks,2,1,1,0.5,50.5,106.5,39.5,86.5,45.7,10,25,40,17.5,28.5,61.4,8.5,32.5,41,26,14,9.5,4.5,7.5,20.5,21.5,-3
Chicago Bulls,2,1,1,0.5,48,97.5,37,83,44.6,5.5,17.5,31.4,18,23.5,76.6,12.5,32,44.5,22,17,8,3,5.5,16,18.5,-7.5
Memphis Grizzlies,4,2,2,0.5,49.3,93,33.3,81,41,8.8,25.8,34,17.8,22.3,79.8,11,33.3,44.3,20.5,13,7,5,5.5,18.3,21,2.5
Milwaukee Bucks,2,1,1,0.5,48,102.5,37,78.5,47.1,8,21.5,37.2,20.5,23.5,87.2,9,31.5,40.5,24,13,6,6.5,6,17,16,0.5
New York Knicks,2,1,1,0.5,48,96,37.5,77.5,48.4,6,12,50,15,18,83.3,8.5,36,44.5,21,18,5.5,6.5,3.5,17.5,17,-2
Orlando Magic,2,1,1,0.5,48,87,34.5,81,42.6,5,16.5,30.3,13,15.5,83.9,7,29.5,36.5,20,15,8.5,4.5,6,20,16.5,-8
Portland Trail Blazers,4,2,2,0.5,48,98.3,36.3,81.3,44.6,9.8,24.8,39.4,16,20,80,8,26.8,34.8,19.8,12,8.5,2.3,5.5,18.8,17.5,-7.8
Utah Jazz,4,2,2,0.5,48,99,37.5,80.5,46.6,11.3,26.8,42.1,12.8,18.8,68,7.5,30.8,38.3,21.3,12.5,7,6.3,5.3,18.3,18.5,-0.3
Golden State Warriors,3,1,2,0.333,48,98.3,38.7,87.3,44.3,8.3,25.3,32.9,12.7,17.3,73.1,12.7,27,39.7,24.7,15.3,9.3,5.7,6.3,19,16.3,-13
Oklahoma City Thunder,3,1,2,0.333,48,97,34.7,85,40.8,6.3,23,27.5,21.3,26.7,80,13.3,34.7,48,21.7,16.3,9.7,4.3,10.7,24.3,21.3,-3
Phoenix Suns,3,1,2,0.333,48,99.3,36.3,81.3,44.7,8.3,21.3,39.1,18.3,22,83.3,11,26.7,37.7,17.7,17,10,2.3,3.3,26.7,19.3,-11
Dallas Mavericks,4,1,3,0.25,48,93,36.3,81.5,44.5,9.5,29.3,32.5,11,14.5,75.9,7.5,33,40.5,19.5,11.3,5.5,4.8,4,19.3,15,-5.3
Houston Rockets,4,1,3,0.25,48,102.8,36.8,86.8,42.4,11.3,38.5,29.2,18,21.8,82.8,12.8,33.5,46.3,22,15.8,6.5,4,6.8,20,16,-2
Los Angeles Lakers,4,1,3,0.25,48,100.3,39,86.3,45.2,8,20.3,39.5,14.3,19.5,73.1,11.3,30,41.3,21.5,14.5,7,2.8,6,19.3,16.5,-15.8
New Orleans Pelicans,4,1,3,0.25,49.3,99,39,89.8,43.5,8.8,25.8,34,12.3,16.8,73.1,9.3,36.5,45.8,23,13.3,6,4.8,5.3,19.5,16.3,-4.8
Boston Celtics,2,0,2,0,48,102,39.5,87.5,45.1,11,32.5,33.8,12,14.5,82.8,8,27.5,35.5,28.5,11.5,10,3.5,5.5,17,14.5,-6.5
Brooklyn Nets,2,0,2,0,48,93.5,34,84,40.5,6,26,23.1,19.5,21.5,90.7,8,34.5,42.5,17.5,16.5,4,3.5,6,17,17.5,-27.5
Charlotte Hornets,2,0,2,0,48,99.5,37.5,82,45.7,7.5,20.5,36.6,17,21.5,79.1,10,36,46,24,16,4,3.5,8,15,19.5,-11
Cleveland Cavaliers,2,0,2,0,50.5,94.5,38,87,43.7,8.5,30,28.3,10,17.5,57.1,10,33.5,43.5,22.5,18.5,7.5,1.5,6.5,18,20,-16
Denver Nuggets,3,0,3,0,48,100,39,89.7,43.5,9,27.3,32.9,13,17.7,73.6,12.7,28.3,41,24.7,16.7,6.3,3.7,7,18.3,16.3,-22
Detroit Pistons,2,0,2,0,48,89,35.5,84,42.3,5,21,23.8,13,17,76.5,8,30.5,38.5,18,11.5,5,3.5,3.5,14.5,15.5,-10.5
Indiana Pacers,2,0,2,0,48,102.5,37.5,79.5,47.2,8,21.5,37.2,19.5,27.5,70.9,9.5,29.5,39,21.5,14.5,10.5,2,5.5,24.5,21.5,-2.5
Miami Heat,2,0,2,0,48,94.5,37,82,45.1,5.5,17.5,31.4,15,23.5,63.8,8,30.5,38.5,20.5,12.5,10.5,7,6,23.5,20.5,-5.5
Minnesota Timberwolves,4,0,4,0,49.3,97,34.8,79,44,6,16,37.5,21.5,26.5,81.1,11.3,32.3,43.5,22.3,18.5,6.3,3.3,4.8,21.5,21.3,-9
Philadelphia 76ers,2,0,2,0,48,94.5,32,86,37.2,11,29.5,37.3,19.5,26,75,9.5,31,40.5,22,14.5,9,3.5,7.5,21,21,-12
Sacramento Kings,4,0,4,0,48,101.3,36.8,78.8,46.7,7.3,17.3,42,20.5,25.5,80.4,7.5,34.5,42,23,14.5,5.8,2.5,5.8,20,20.5,-9.8
Toronto Raptors,2,0,2,0,48,94,34.5,83.5,41.3,5,21.5,23.3,20,25,80,12,32,44,9,13.5,8.5,6,10.5,21,18,-15
Washington Wizards,2,0,2,0,48,102.5,41.5,84.5,49.1,6.5,16.5,39.4,13,16,81.3,10.5,31,41.5,23,17,12,2,5,26,17,-7
